File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,143.0625,122.09375,123.359375,126.90625,121.96875,116.734375,105.8125,112.421875,121.9375,102.703125,106.46875,106.84375,108.21875,97.234375,119.171875,90.671875
0656.png,142.078125,124.9375,120.359375,107.609375,124.34375,124.078125,105.359375,114.390625,110.609375,130.21875,108.578125,115.265625,131.953125,108.359375,125.421875,128.671875
0692.png,184.5,117.359375,85.8125,99.375,105.703125,99.890625,94.125,89.53125,92.8125,81.234375,104.359375,101.796875,86.171875,101.15625,94.609375,87.96875
0211.png,174.765625,141.3125,114.015625,68.375,137.015625,97.203125,84.515625,92.328125,98.78125,93.03125,119.234375,95.296875,86.078125,87.015625,75.015625,90.0
0004.png,134.390625,95.1875,100.0,112.03125,95.1875,131.421875,105.578125,103.09375,84.390625,115.59375,95.8125,117.5,123.640625,112.015625,95.734375,113.5
0609.png,140.28125,135.046875,116.625,125.046875,110.90625,121.6875,103.71875,107.6875,122.109375,98.578125,106.890625,131.484375,111.796875,116.421875,107.0625,109.765625
0827.png,200.234375,65.234375,84.21875,63.296875,74.703125,88.171875,68.78125,74.8125,79.75,75.3125,105.78125,80.109375,45.78125,53.65625,45.125,40.765625
0120.png,120.53125,130.984375,93.03125,116.140625,122.5625,145.703125,103.59375,100.734375,115.984375,110.1875,100.25,116.703125,89.859375,89.9375,106.296875,113.09375
0848.png,167.96875,89.171875,92.453125,86.34375,81.671875,111.765625,106.3125,106.109375,89.875,100.0625,107.09375,100.3125,95.828125,90.5625,115.390625,99.9375
0994.png,139.875,92.5,99.421875,106.65625,123.234375,126.59375,110.640625,140.765625,131.8125,120.59375,116.453125,110.453125,115.6875,115.046875,124.71875,105.71875
0261.png,156.046875,75.6875,101.671875,69.484375,77.984375,66.46875,49.84375,53.796875,78.453125,66.203125,91.359375,78.28125,55.734375,59.640625,56.3125,51.25
0154.png,180.984375,107.65625,87.140625,83.328125,118.3125,121.0625,99.0625,91.40625,74.703125,80.203125,104.15625,95.65625,87.8125,86.953125,85.359375,110.828125
0838.png,128.484375,103.703125,104.75,111.4375,104.890625,89.71875,102.296875,85.890625,116.78125,100.234375,106.328125,114.9375,93.703125,86.8125,97.5625,98.171875
0223.png,137.234375,84.390625,111.484375,113.828125,88.734375,119.8125,116.8125,102.484375,117.328125,117.390625,119.5,98.078125,109.6875,102.34375,108.328125,101.703125
0241.png,214.1875,52.703125,41.71875,53.515625,50.6875,47.75,51.5,42.40625,42.59375,54.734375,47.140625,39.59375,42.203125,42.359375,45.15625,36.703125
0512.png,187.828125,60.015625,63.609375,51.515625,53.9375,56.25,68.796875,53.125,59.734375,60.578125,63.046875,61.140625,65.734375,68.8125,57.546875,55.203125
0778.png,105.84375,106.953125,108.859375,97.015625,98.71875,120.46875,94.234375,90.671875,113.34375,78.21875,89.984375,92.84375,69.859375,62.46875,74.0,70.71875
0020.png,129.03125,144.484375,111.28125,99.578125,157.390625,115.765625,92.640625,85.8125,118.9375,100.90625,125.34375,92.859375,109.859375,112.71875,85.84375,108.09375
0828.png,135.9375,158.671875,133.703125,101.921875,140.328125,115.296875,126.296875,96.90625,141.015625,102.234375,113.140625,97.28125,93.515625,106.28125,90.3125,109.15625
0523.png,166.1875,77.046875,115.78125,99.296875,90.03125,115.515625,86.21875,81.734375,117.78125,97.28125,111.5625,100.765625,110.15625,105.65625,94.03125,119.734375
0445.png,164.765625,147.234375,90.75,86.40625,148.96875,121.5625,86.21875,76.34375,98.234375,97.734375,90.375,97.4375,81.796875,69.703125,85.6875,96.734375
0415.png,161.875,121.5,101.640625,95.984375,120.171875,104.421875,132.21875,101.8125,95.765625,108.625,88.515625,101.8125,95.734375,96.03125,76.078125,92.953125
0126.png,179.625,129.625,119.109375,95.6875,146.65625,106.125,104.828125,125.03125,109.875,98.296875,101.875,109.265625,99.75,104.203125,99.796875,103.71875
0608.png,145.109375,127.390625,97.703125,83.34375,117.453125,140.640625,97.0,105.171875,130.15625,92.6875,111.03125,119.90625,101.796875,81.859375,105.671875,109.765625
0056.png,116.8125,121.578125,113.015625,108.15625,123.15625,114.140625,116.75,120.921875,137.609375,98.703125,119.421875,132.34375,139.515625,115.03125,120.5625,101.15625
0739.png,177.40625,120.8125,80.546875,68.90625,102.03125,103.4375,68.09375,68.9375,82.953125,76.203125,66.484375,81.671875,60.953125,58.234375,66.171875,68.5
0484.png,138.46875,100.921875,113.625,123.921875,118.421875,118.421875,107.890625,107.765625,123.421875,115.125,108.3125,113.140625,121.921875,97.8125,101.859375,112.28125
0796.png,108.96875,116.25,155.765625,107.515625,122.953125,120.140625,115.078125,108.15625,149.21875,105.734375,133.28125,122.953125,103.109375,119.6875,115.71875,79.9375
0750.png,113.109375,199.265625,50.84375,80.96875,206.375,61.0,78.28125,71.265625,55.84375,73.734375,75.75,82.46875,71.84375,64.171875,60.09375,59.8125
0399.png,162.078125,116.3125,120.25,98.546875,107.0,141.84375,108.109375,130.109375,137.34375,110.03125,127.5625,119.703125,107.78125,108.40625,100.125,117.28125
0890.png,155.828125,87.390625,66.09375,88.109375,77.40625,103.3125,95.28125,63.984375,79.03125,94.109375,106.953125,91.828125,97.703125,77.8125,77.734375,80.9375
0400.png,116.34375,85.8125,117.0,109.71875,76.0,101.953125,88.0625,103.84375,98.625,101.859375,106.9375,129.640625,91.3125,91.0,88.9375,77.5625
0659.png,113.09375,162.53125,130.203125,95.703125,177.234375,125.53125,104.015625,94.34375,110.296875,107.046875,96.703125,99.71875,77.75,97.84375,90.234375,97.4375
0113.png,131.109375,71.9375,115.859375,136.515625,101.546875,134.5,114.015625,121.140625,127.71875,118.984375,119.859375,122.71875,121.890625,113.546875,117.984375,120.359375
