File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,113.078125,119.609375,128.015625,116.0625,107.90625,102.96875,104.0,93.28125,123.328125,96.03125,92.1875,98.75,83.75,76.421875,87.8125,83.640625
0656.png,89.328125,116.015625,117.890625,113.0625,136.421875,118.9375,108.28125,107.171875,104.46875,115.984375,111.34375,116.359375,105.75,93.875,86.25,90.1875
0692.png,155.5625,152.640625,104.96875,111.71875,149.59375,135.484375,113.96875,101.71875,107.53125,99.96875,135.21875,112.015625,101.75,105.96875,94.203125,108.859375
0211.png,107.34375,135.71875,139.21875,99.34375,122.0,118.296875,76.203125,96.25,152.46875,98.21875,117.65625,109.75,77.65625,70.15625,82.171875,88.28125
0004.png,121.125,86.578125,96.359375,120.15625,91.28125,132.21875,115.953125,112.4375,86.28125,121.890625,114.921875,112.9375,117.640625,102.15625,85.984375,94.578125
0609.png,112.796875,123.265625,129.625,122.96875,122.40625,122.0625,115.640625,95.8125,113.15625,108.015625,108.6875,114.46875,107.6875,76.015625,91.453125,91.3125
0827.png,139.21875,113.59375,127.53125,66.828125,82.328125,92.34375,85.953125,70.34375,111.078125,71.96875,89.875,64.046875,51.875,47.84375,39.90625,47.375
0120.png,123.484375,137.375,93.078125,104.546875,137.03125,109.875,101.9375,110.3125,120.1875,110.34375,103.765625,125.640625,99.765625,76.078125,96.0625,99.578125
0848.png,137.859375,91.625,126.828125,105.296875,96.953125,137.1875,135.65625,108.90625,127.6875,105.984375,120.703125,130.296875,99.703125,92.671875,99.96875,96.09375
0994.png,118.203125,88.65625,88.328125,90.4375,94.34375,129.75,100.171875,120.921875,110.390625,100.203125,115.671875,111.34375,107.734375,123.625,116.203125,108.84375
0261.png,127.328125,77.828125,106.6875,71.78125,56.828125,77.640625,68.078125,47.921875,96.328125,64.078125,58.515625,60.234375,45.875,49.859375,50.0625,53.625
0154.png,132.3125,91.84375,126.703125,100.09375,92.859375,118.828125,110.1875,92.203125,107.9375,92.375,104.296875,94.140625,113.8125,93.5625,86.28125,97.46875
0838.png,154.375,98.875,106.046875,102.359375,89.21875,77.46875,86.078125,86.03125,99.0,98.140625,112.703125,93.546875,95.828125,84.28125,79.890625,64.0625
0223.png,126.21875,92.03125,99.578125,116.84375,107.296875,122.671875,109.71875,102.265625,95.828125,108.0,104.453125,107.953125,83.703125,87.734375,83.5625,75.765625
0241.png,202.53125,99.46875,73.421875,68.3125,95.5625,104.421875,56.03125,66.84375,74.015625,66.09375,67.671875,57.09375,65.96875,57.984375,53.859375,50.046875
0512.png,187.25,90.15625,84.0625,67.5625,92.359375,84.640625,63.3125,83.875,78.34375,71.6875,78.421875,84.03125,79.53125,83.890625,63.96875,68.640625
0778.png,149.296875,98.90625,111.15625,79.640625,64.734375,76.046875,83.875,76.21875,119.96875,78.0625,93.484375,89.390625,65.859375,62.0625,45.984375,42.328125
0020.png,147.125,141.734375,121.125,114.5625,147.75,99.703125,78.171875,94.5625,114.890625,96.21875,102.59375,80.265625,97.765625,89.671875,65.953125,97.0625
0828.png,107.265625,143.296875,121.5625,113.0,120.984375,108.234375,106.046875,103.1875,146.328125,90.171875,101.046875,87.609375,77.734375,74.15625,70.1875,81.640625
0523.png,133.890625,87.109375,128.53125,114.9375,90.859375,148.84375,88.25,87.53125,116.9375,98.1875,106.71875,81.125,84.0,95.9375,95.78125,103.171875
0445.png,101.03125,147.3125,92.203125,76.046875,138.171875,101.828125,78.109375,69.3125,86.765625,81.875,78.3125,85.90625,81.875,69.90625,65.953125,77.34375
0415.png,115.65625,119.96875,101.6875,110.875,130.359375,92.4375,96.125,75.234375,109.59375,94.28125,94.390625,98.84375,71.890625,67.921875,60.046875,72.40625
0126.png,109.0,148.4375,100.0,109.765625,125.03125,120.84375,92.171875,96.34375,90.546875,110.1875,116.640625,109.4375,109.625,74.0625,66.015625,81.96875
0608.png,122.8125,125.875,85.421875,103.078125,121.921875,138.265625,72.578125,80.40625,106.84375,78.40625,119.640625,97.921875,72.0,56.0,68.046875,79.859375
0056.png,118.453125,119.9375,107.5,113.59375,116.15625,105.5,98.03125,116.34375,120.625,106.234375,108.28125,125.4375,103.859375,87.71875,88.0625,106.5625
0739.png,168.0625,173.6875,116.515625,72.0625,158.359375,115.96875,70.0,62.234375,112.828125,54.09375,75.90625,68.96875,51.84375,51.84375,51.953125,55.53125
0484.png,123.953125,127.203125,110.4375,104.09375,123.734375,108.671875,117.984375,109.75,118.875,114.125,121.0625,105.6875,123.65625,104.296875,99.953125,107.171875
0796.png,122.03125,96.6875,164.171875,96.109375,100.28125,92.6875,81.828125,76.078125,162.1875,97.859375,125.703125,120.578125,97.78125,93.859375,89.90625,67.171875
0750.png,118.21875,201.4375,58.078125,77.515625,202.171875,83.40625,64.03125,58.828125,49.359375,64.0,68.828125,70.609375,61.859375,45.984375,58.046875,41.984375
0399.png,115.171875,117.765625,127.84375,94.6875,116.53125,139.75,76.109375,122.828125,139.890625,100.171875,146.5625,108.578125,109.671875,106.21875,101.953125,110.3125
0890.png,157.125,73.078125,65.546875,114.140625,79.15625,131.9375,88.046875,80.390625,69.390625,100.046875,96.78125,82.90625,75.828125,64.09375,68.0,71.65625
0400.png,145.171875,86.734375,104.796875,89.8125,78.421875,105.234375,77.921875,73.96875,92.984375,71.96875,96.65625,92.09375,75.8125,75.78125,68.28125,64.65625
0659.png,138.390625,183.5625,123.375,117.828125,182.546875,121.5,67.96875,79.0625,98.203125,99.984375,88.203125,91.984375,61.890625,65.75,70.03125,77.828125
0113.png,117.859375,89.703125,123.796875,140.546875,106.453125,141.9375,127.890625,101.40625,130.859375,110.21875,142.71875,110.265625,109.625,89.921875,114.140625,109.171875
0776.png,174.328125,60.75,101.4375,76.03125,56.5,86.59375,84.15625,67.375,77.453125,86.0625,69.625,66.03125,85.671875,65.765625,58.3125,61.796875
0443.png,103.265625,199.0625,143.0625,70.875,161.75,115.6875,95.953125,107.546875,97.390625,74.0,90.640625,86.625,53.9375,54.03125,57.90625,49.5
