File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,105.546875,121.46875,126.40625,105.09375,111.421875,128.765625,101.796875,113.96875,115.546875,107.78125,103.4375,119.578125,107.609375,95.765625,92.03125,107.1875
0656.png,91.265625,100.796875,113.9375,133.34375,124.34375,117.8125,103.984375,111.703125,122.25,109.78125,110.921875,106.71875,101.59375,98.0,105.8125,93.59375
0692.png,153.953125,140.421875,116.53125,109.640625,138.21875,149.8125,101.78125,118.59375,114.484375,91.921875,121.859375,91.71875,91.8125,80.125,76.46875,83.015625
0211.png,100.671875,128.421875,150.515625,84.71875,127.609375,127.4375,105.921875,87.828125,139.5625,83.859375,128.359375,109.078125,89.828125,86.0,65.828125,86.734375
0004.png,126.4375,83.078125,109.28125,96.59375,77.109375,120.4375,81.875,132.8125,111.09375,102.265625,103.78125,106.671875,111.796875,116.046875,104.09375,96.421875
0609.png,122.828125,132.078125,137.640625,104.671875,113.640625,119.609375,111.515625,116.265625,123.609375,101.75,110.640625,117.71875,117.671875,102.0,89.890625,93.609375
0827.png,152.1875,113.90625,106.296875,81.453125,86.015625,87.03125,78.265625,82.90625,106.71875,76.046875,83.296875,75.78125,61.859375,49.890625,53.78125,50.359375
0120.png,127.4375,136.75,103.171875,118.96875,131.234375,120.1875,103.828125,87.515625,110.578125,104.0,86.828125,115.703125,101.671875,85.890625,93.984375,109.875
0848.png,147.203125,68.3125,138.6875,114.21875,110.078125,137.1875,91.15625,109.09375,131.46875,108.3125,104.453125,107.3125,99.78125,96.484375,83.75,88.453125
0994.png,128.625,116.46875,80.390625,95.09375,89.5625,128.140625,90.421875,112.140625,88.859375,85.65625,110.78125,118.96875,109.765625,106.21875,86.09375,94.78125
0261.png,124.015625,67.609375,99.953125,78.28125,50.78125,59.140625,53.96875,50.078125,88.109375,68.015625,66.640625,55.421875,47.96875,40.03125,28.0,43.34375
0154.png,129.6875,98.15625,102.90625,106.53125,101.984375,145.5,116.265625,82.84375,106.359375,113.9375,107.984375,101.0625,103.6875,92.4375,83.984375,97.75
0838.png,147.0,121.4375,113.015625,100.375,107.625,88.84375,79.96875,88.859375,99.53125,106.171875,88.859375,90.703125,105.609375,85.890625,77.890625,86.9375
0223.png,134.65625,84.546875,103.203125,88.71875,95.71875,93.484375,104.28125,104.0625,111.1875,102.703125,121.71875,93.40625,97.78125,97.703125,105.5625,102.078125
0241.png,197.4375,65.0625,72.234375,78.765625,83.296875,98.265625,71.84375,73.859375,61.765625,60.28125,70.453125,58.390625,63.890625,59.703125,60.09375,59.578125
0512.png,185.828125,96.53125,103.734375,76.046875,89.4375,83.890625,71.546875,92.390625,90.921875,79.296875,81.953125,75.34375,61.40625,77.875,74.1875,85.53125
0778.png,166.390625,88.109375,109.578125,88.75,87.46875,88.484375,69.921875,89.40625,94.578125,70.125,79.046875,70.015625,51.90625,51.921875,52.078125,44.328125
0020.png,150.84375,143.90625,110.859375,114.671875,141.71875,131.0625,102.09375,118.625,109.40625,109.609375,129.375,97.734375,93.875,78.359375,77.65625,89.4375
0828.png,102.515625,114.78125,140.984375,99.546875,116.953125,93.75,102.0625,117.8125,122.703125,80.09375,106.5,78.984375,89.828125,73.9375,62.296875,81.21875
0523.png,141.203125,80.71875,123.609375,109.71875,94.46875,130.046875,102.359375,109.234375,134.515625,98.109375,93.796875,104.71875,91.921875,79.765625,79.5625,79.875
0445.png,116.953125,159.75,123.21875,99.75,140.3125,108.734375,107.75,104.46875,93.609375,84.0625,88.734375,68.609375,81.875,73.953125,70.046875,70.375
0415.png,118.171875,103.796875,125.390625,99.421875,129.59375,116.40625,100.09375,92.328125,108.765625,101.96875,101.296875,105.296875,105.890625,74.125,78.0,91.4375
0126.png,96.109375,135.28125,105.0625,123.609375,133.0625,123.828125,114.03125,109.21875,105.421875,115.703125,123.703125,106.875,113.828125,101.796875,89.6875,86.578125
0608.png,121.46875,136.4375,97.109375,91.46875,125.921875,131.796875,104.5625,115.8125,110.796875,90.265625,123.515625,97.109375,107.890625,60.234375,88.015625,76.421875
0056.png,116.390625,128.609375,97.40625,112.375,119.421875,129.359375,131.84375,117.25,114.484375,118.265625,116.890625,108.859375,127.625,95.90625,87.8125,116.59375
0739.png,154.828125,173.921875,116.9375,96.078125,162.703125,114.140625,98.03125,86.515625,134.453125,72.328125,120.015625,81.234375,71.671875,68.5,72.25,57.140625
0484.png,114.0625,125.359375,121.984375,106.734375,118.09375,122.859375,100.0625,101.5625,120.875,107.515625,124.34375,111.203125,101.828125,78.09375,94.15625,117.4375
0796.png,106.3125,114.0625,155.3125,91.5,96.34375,118.578125,101.984375,87.703125,153.734375,101.828125,125.53125,99.59375,91.765625,80.046875,83.890625,73.28125
0750.png,123.65625,186.203125,57.421875,58.421875,187.109375,96.390625,59.859375,70.8125,43.515625,74.109375,68.109375,68.46875,51.953125,63.921875,56.125,43.59375
0399.png,116.96875,118.53125,121.328125,81.625,108.71875,153.0625,84.125,107.296875,132.59375,96.203125,155.921875,107.875,111.5625,104.34375,103.84375,107.828125
0890.png,152.59375,84.296875,62.609375,96.03125,67.46875,139.296875,75.96875,95.5,86.0,99.703125,99.78125,95.59375,73.8125,70.203125,85.953125,93.921875
0400.png,135.75,84.0,102.96875,89.484375,75.78125,81.75,92.234375,96.15625,97.1875,107.96875,112.171875,115.65625,65.75,77.859375,61.96875,59.25
0659.png,144.8125,158.78125,111.609375,109.78125,157.9375,111.0,104.109375,90.390625,111.765625,101.5625,85.234375,102.265625,89.828125,81.625,77.9375,81.703125
0113.png,115.890625,104.6875,119.15625,115.96875,111.828125,134.78125,86.21875,118.953125,130.671875,106.125,103.265625,118.53125,123.890625,119.984375,112.0625,103.71875
0776.png,162.546875,80.3125,114.71875,78.234375,70.28125,92.34375,67.8125,79.703125,85.859375,82.0,92.28125,81.4375,69.765625,81.9375,70.234375,69.96875
0443.png,119.40625,178.90625,142.703125,65.78125,167.828125,119.234375,89.84375,81.15625,101.3125,77.96875,96.140625,85.046875,49.90625,38.234375,45.828125,49.46875
0014.png,104.5625,118.40625,103.578125,107.328125,95.4375,121.296875,120.328125,115.296875,123.578125,97.71875,126.359375,98.734375,119.640625,96.5625,68.265625,83.34375
0231.png,130.78125,110.765625,78.40625,100.3125,91.140625,123.296875,88.09375,127.171875,93.40625,109.90625,130.359375,114.234375,107.8125,111.84375,95.828125,107.796875
0153.png,118.578125,133.3125,112.375,110.8125,135.859375,132.328125,100.59375,120.78125,107.765625,114.21875,113.546875,98.25,109.765625,81.703125,97.5625,104.703125
0576.png,117.0625,127.953125,116.390625,89.578125,115.5,121.21875,94.09375,78.484375,129.5,85.984375,97.171875,93.609375,75.71875,64.140625,71.8125,60.40625
0364.png,122.859375,96.703125,88.28125,97.359375,94.796875,94.921875,72.171875,72.96875,107.21875,92.171875,96.234375,95.09375,65.84375,58.09375,53.796875,61.75
0872.png,132.28125,72.65625,86.78125,86.734375,68.21875,121.0,96.140625,92.265625,80.203125,76.140625,99.875,84.8125,65.78125,50.359375,54.03125,57.4375
0635.png,135.390625,124.765625,90.78125,100.5,126.296875,120.046875,105.84375,101.515625,84.828125,94.125,86.859375,97.203125,75.734375,75.609375,75.9375,75.953125
0420.png,101.375,120.671875,130.171875,107.203125,108.84375,125.640625,104.125,100.421875,145.8125,97.921875,120.21875,98.03125,93.75,70.203125,74.015625,89.59375
0686.png,114.21875,164.875,131.578125,86.046875,134.140625,112.203125,88.078125,76.484375,105.78125,77.953125,88.359375,90.03125,55.875,71.90625,71.921875,60.0
0058.png,106.171875,107.1875,124.28125,103.15625,85.40625,150.359375,100.0625,108.3125,99.890625,111.5,110.46875,118.0625,93.859375,110.0625,90.03125,97.921875
0145.png,104.03125,115.890625,86.0,90.03125,102.03125,116.171875,88.15625,68.640625,88.234375,75.640625,106.125,91.640625,73.78125,61.9375,61.984375,65.0625
0550.png,120.53125,134.1875,133.8125,111.296875,109.140625,97.546875,106.109375,100.96875,127.015625,116.40625,113.515625,119.328125,109.9375,81.671875,89.9375,103.40625
0136.png,153.671875,123.75,104.875,99.796875,112.296875,101.875,95.765625,100.890625,102.90625,74.921875,108.984375,79.65625,79.75,71.890625,72.0,78.09375
0505.png,150.609375,99.703125,92.640625,88.046875,87.46875,145.59375,84.0625,91.5625,103.65625,85.78125,97.265625,74.1875,77.921875,66.0625,74.046875,81.390625
0449.png,127.296875,140.421875,101.71875,90.921875,133.578125,148.6875,82.578125,92.984375,104.34375,106.265625,141.515625,111.515625,102.03125,105.8125,86.09375,103.921875
