File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,107.09375,127.9375,128.34375,128.296875,138.8125,109.125,97.859375,95.671875,139.8125,100.390625,92.09375,94.203125,86.0,78.765625,97.578125,93.453125
0656.png,105.734375,103.390625,105.609375,104.78125,126.015625,124.390625,98.65625,93.109375,116.09375,111.875,99.359375,108.6875,124.015625,100.34375,84.734375,104.328125
0692.png,124.578125,149.4375,136.671875,95.640625,139.625,125.328125,136.03125,103.796875,117.109375,93.5,105.71875,110.171875,91.828125,99.5,80.140625,90.75
0211.png,132.90625,145.203125,124.671875,103.21875,122.453125,86.328125,84.34375,84.390625,128.59375,94.703125,93.78125,89.5625,81.96875,86.328125,78.5,95.734375
0004.png,145.09375,115.8125,108.015625,116.15625,105.59375,134.296875,109.8125,102.5,86.28125,117.75,98.421875,120.4375,121.734375,110.03125,89.875,110.75
0609.png,129.359375,108.296875,119.734375,111.125,141.59375,120.0,125.890625,93.859375,120.25,96.0625,103.671875,110.546875,91.75,84.28125,103.609375,98.984375
0827.png,128.703125,115.359375,114.21875,69.140625,96.328125,93.984375,79.65625,76.625,123.4375,83.96875,89.484375,76.109375,57.90625,61.6875,53.828125,53.140625
0120.png,135.078125,138.375,118.09375,112.109375,145.6875,119.859375,95.890625,92.421875,130.78125,104.109375,85.4375,123.484375,81.875,85.90625,74.171875,109.28125
0848.png,156.0625,120.640625,140.421875,99.5,100.203125,127.40625,109.21875,115.140625,118.46875,99.765625,135.8125,108.359375,113.84375,91.359375,133.6875,94.21875
0994.png,120.609375,91.578125,116.71875,132.375,118.609375,132.171875,114.296875,119.328125,127.90625,114.3125,102.046875,117.015625,127.734375,111.453125,100.28125,113.015625
0261.png,135.03125,116.265625,105.953125,123.53125,110.09375,108.140625,102.109375,77.890625,103.921875,100.046875,82.671875,92.234375,59.78125,63.734375,63.953125,67.296875
0154.png,146.4375,121.390625,119.71875,128.171875,121.328125,104.859375,128.375,105.9375,113.625,110.40625,130.34375,100.65625,93.75,89.3125,90.65625,121.1875
0838.png,100.671875,106.859375,113.140625,106.421875,93.25,85.375,90.125,98.078125,98.203125,78.15625,109.0625,105.296875,75.734375,72.328125,71.9375,60.25
0223.png,132.5625,138.140625,133.375,123.03125,132.890625,107.46875,113.53125,122.328125,117.5,101.75,118.78125,105.671875,109.796875,90.0625,101.078125,93.75
0241.png,81.3125,123.671875,105.203125,104.484375,117.21875,94.25,106.046875,88.5,102.109375,82.390625,72.09375,56.78125,67.984375,56.078125,55.6875,52.015625
0512.png,113.671875,121.203125,113.25,80.453125,93.703125,90.5625,85.421875,93.71875,117.359375,74.21875,81.359375,93.953125,83.71875,79.515625,79.984375,84.6875
0778.png,142.65625,136.875,115.671875,109.59375,102.546875,99.265625,92.015625,56.171875,117.546875,92.109375,91.90625,87.328125,67.875,56.1875,63.96875,56.4375
0020.png,116.3125,141.15625,110.78125,118.90625,130.4375,120.90625,110.21875,90.671875,129.71875,116.296875,102.78125,96.46875,99.671875,95.515625,83.984375,106.90625
0828.png,97.546875,115.734375,136.296875,105.046875,113.09375,100.609375,114.078125,63.515625,147.078125,86.046875,93.34375,71.953125,73.6875,90.15625,78.125,89.390625
0523.png,124.21875,112.578125,123.953125,114.25,113.609375,126.734375,86.28125,85.578125,113.953125,97.875,110.59375,105.1875,99.875,95.84375,75.84375,90.78125
0445.png,134.421875,119.625,116.75,110.3125,125.484375,121.6875,86.078125,73.15625,117.984375,105.890625,74.265625,89.6875,67.796875,63.921875,71.859375,83.203125
0415.png,139.890625,136.9375,117.796875,135.15625,123.890625,80.5625,100.0,98.859375,91.71875,96.203125,68.609375,96.984375,77.859375,69.96875,66.15625,82.625
0126.png,143.09375,122.578125,113.609375,136.34375,109.0625,100.875,124.75,124.3125,116.546875,100.046875,119.46875,95.296875,105.765625,86.03125,81.9375,97.75
0608.png,113.765625,135.046875,99.84375,110.40625,134.84375,126.40625,96.4375,76.5,127.09375,104.40625,105.671875,104.03125,87.765625,79.96875,87.734375,76.0625
0056.png,136.4375,110.59375,123.03125,118.9375,113.65625,97.484375,90.015625,100.046875,113.53125,110.46875,92.78125,121.359375,121.78125,89.46875,98.359375,104.359375
0739.png,143.109375,122.21875,123.359375,110.21875,131.71875,107.765625,89.953125,78.453125,116.953125,74.09375,104.09375,88.703125,65.625,57.96875,74.125,65.3125
0484.png,146.0625,141.203125,109.390625,127.75,136.890625,118.265625,112.0,111.390625,122.671875,114.65625,117.359375,117.375,129.9375,113.921875,114.0,113.03125
0796.png,140.75,114.953125,131.453125,135.8125,115.15625,80.21875,109.5,95.703125,143.59375,97.734375,125.6875,128.15625,105.390625,105.796875,101.8125,91.671875
0750.png,122.890625,156.71875,106.5,111.4375,149.9375,61.4375,97.984375,76.6875,100.671875,95.8125,72.828125,86.359375,71.8125,60.203125,60.0,59.96875
0399.png,132.484375,125.296875,123.1875,90.625,117.890625,116.4375,98.265625,108.75,132.90625,94.015625,144.71875,114.90625,111.546875,112.390625,123.828125,120.359375
0890.png,121.890625,88.921875,138.34375,116.015625,109.09375,121.046875,91.75,88.15625,108.8125,108.21875,100.796875,98.6875,79.78125,63.828125,75.78125,71.53125
0400.png,144.390625,102.09375,107.59375,109.828125,101.984375,93.375,86.09375,85.890625,100.25,99.984375,104.453125,103.90625,89.609375,69.40625,70.53125,70.828125
0659.png,115.703125,167.6875,116.703125,101.84375,170.46875,103.78125,100.125,95.09375,107.140625,91.5625,100.21875,95.890625,71.796875,63.8125,79.984375,79.828125
0113.png,121.125,85.9375,128.09375,126.328125,97.53125,138.15625,100.09375,101.546875,124.59375,92.65625,145.453125,112.375,117.75,97.71875,110.171875,121.0625
0776.png,141.890625,111.8125,117.328125,96.125,95.40625,79.0,88.359375,63.078125,121.09375,94.171875,101.703125,62.203125,81.640625,69.453125,62.71875,73.625
0443.png,117.5625,144.9375,127.15625,127.203125,120.5,89.703125,93.84375,85.3125,115.34375,107.8125,113.125,60.5625,57.875,66.109375,69.875,69.3125
0014.png,130.40625,119.859375,108.734375,101.234375,119.28125,107.859375,105.953125,96.234375,123.59375,124.578125,104.0,96.109375,95.484375,92.703125,96.109375,110.453125
0231.png,132.984375,114.71875,89.453125,115.546875,117.390625,115.46875,119.84375,107.84375,100.0,78.03125,109.359375,130.21875,103.75,88.140625,88.09375,95.671875
0153.png,135.734375,117.4375,131.1875,121.234375,113.390625,107.890625,97.921875,107.8125,119.484375,103.53125,83.078125,118.5,97.875,94.40625,86.0625,86.1875
0576.png,147.921875,113.078125,114.890625,97.1875,100.34375,123.5625,119.734375,88.515625,117.828125,82.40625,59.734375,86.3125,81.8125,77.984375,82.078125,81.625
0364.png,124.265625,127.4375,140.671875,104.765625,122.8125,97.3125,94.125,86.328125,135.640625,96.015625,107.0,87.75,75.703125,72.140625,72.1875,56.78125
0872.png,138.1875,127.390625,123.671875,86.5,119.578125,90.1875,89.921875,89.140625,101.25,70.296875,85.203125,77.9375,55.875,59.8125,55.921875,56.203125
0635.png,120.890625,121.796875,117.171875,107.765625,115.6875,108.78125,96.15625,92.453125,123.5625,111.53125,86.4375,96.25,73.984375,73.875,70.375,92.484375
0420.png,129.421875,90.4375,122.15625,108.0,86.390625,118.53125,97.859375,94.171875,111.359375,92.125,111.765625,92.296875,79.6875,56.28125,67.953125,80.15625
0686.png,135.453125,137.796875,128.65625,100.984375,121.578125,75.625,93.890625,74.109375,132.421875,85.859375,83.296875,74.0,69.875,62.140625,57.859375,62.453125
0058.png,137.828125,79.96875,116.546875,103.234375,90.09375,149.546875,100.15625,72.28125,116.015625,95.921875,106.546875,101.828125,91.921875,84.015625,88.125,73.4375
0145.png,107.5625,143.484375,102.125,126.265625,126.828125,80.46875,112.328125,86.984375,121.40625,106.078125,89.9375,98.921875,91.765625,76.046875,95.828125,92.109375
0550.png,128.015625,109.609375,124.5625,104.421875,100.65625,106.28125,130.1875,106.546875,127.828125,115.984375,127.703125,111.03125,97.71875,106.234375,98.296875,121.3125
0136.png,125.71875,121.65625,124.96875,89.859375,123.984375,92.53125,80.21875,94.953125,114.234375,85.765625,82.078125,89.34375,79.734375,75.875,76.796875,80.796875
0505.png,146.78125,122.46875,111.453125,97.71875,99.59375,131.390625,104.078125,84.984375,102.640625,106.21875,126.40625,98.265625,96.046875,80.578125,91.765625,99.4375
0449.png,135.734375,128.984375,119.28125,107.75,116.234375,122.796875,108.3125,112.296875,133.296875,110.109375,153.375,122.640625,107.625,96.078125,88.421875,122.015625
0451.png,117.0625,137.71875,133.703125,113.890625,132.328125,143.03125,98.859375,130.828125,128.125,116.0,128.046875,131.46875,99.9375,103.625,116.75,105.4375
0138.png,116.609375,134.84375,128.40625,95.578125,121.65625,98.890625,110.046875,113.3125,142.484375,96.125,109.9375,91.875,85.6875,77.578125,82.078125,93.0
0244.png,135.265625,143.46875,116.84375,116.671875,131.015625,111.140625,109.6875,102.40625,121.921875,105.0,105.75,113.21875,109.59375,105.890625,105.796875,91.15625
0100.png,132.078125,112.625,118.59375,100.34375,123.8125,78.734375,108.109375,89.546875,131.046875,89.984375,72.328125,80.328125,83.890625,56.484375,67.96875,60.5625
0531.png,111.171875,122.1875,119.078125,118.25,126.671875,103.125,101.75,113.296875,136.203125,116.171875,89.921875,87.75,99.609375,75.921875,67.96875,91.4375
0917.png,120.5625,106.109375,108.328125,104.09375,92.375,72.25,99.78125,103.546875,123.84375,76.140625,95.046875,83.828125,85.65625,85.953125,66.0625,70.4375
0212.png,140.25,114.359375,102.34375,83.265625,119.75,89.5,91.921875,88.421875,98.046875,106.09375,99.21875,85.578125,73.75,77.875,74.15625,89.0
0377.png,121.828125,114.765625,128.109375,97.765625,131.5,137.390625,87.9375,84.5,120.390625,72.078125,72.609375,63.828125,67.765625,75.84375,56.03125,68.375
0387.png,110.6875,117.921875,110.8125,111.5625,131.828125,101.9375,105.796875,113.921875,120.375,107.828125,129.8125,95.609375,87.875,80.078125,87.875,80.109375
0423.png,141.28125,99.65625,134.96875,105.5,103.25,101.953125,90.21875,94.421875,116.125,95.59375,78.046875,84.484375,75.8125,83.71875,88.0625,76.65625
0267.png,130.859375,120.140625,103.484375,108.90625,111.328125,114.953125,85.75,110.484375,102.953125,102.125,111.1875,101.90625,93.734375,86.125,85.921875,88.984375
0742.png,110.15625,94.796875,128.328125,121.0625,122.40625,169.078125,98.84375,115.96875,137.015625,98.71875,105.421875,84.875,67.84375,87.734375,83.890625,67.890625
0426.png,134.296875,139.75,106.28125,129.8125,126.765625,101.03125,117.859375,106.703125,130.984375,107.6875,106.078125,99.0,123.8125,119.609375,96.359375,116.59375
0476.png,124.203125,102.6875,143.953125,114.6875,105.1875,104.578125,94.671875,94.40625,139.59375,115.75,145.75,99.859375,84.375,80.3125,84.359375,106.859375
0287.png,114.234375,148.03125,109.328125,122.46875,129.125,103.875,133.328125,96.09375,127.703125,125.34375,115.375,117.109375,113.625,102.71875,97.734375,120.859375
0728.png,161.421875,119.671875,131.0625,88.140625,99.6875,82.796875,88.328125,56.609375,113.859375,73.765625,58.046875,53.8125,23.796875,31.921875,20.3125,27.765625
0787.png,110.046875,115.34375,135.265625,105.984375,117.578125,98.859375,94.0,94.71875,120.0,100.21875,70.203125,68.859375,55.796875,71.125,47.671875,59.390625
0865.png,131.234375,106.140625,118.53125,105.25,102.796875,135.3125,105.78125,122.0,122.71875,112.25,118.84375,127.875,127.625,92.84375,104.453125,91.546875
0910.png,111.109375,135.84375,138.859375,113.828125,133.4375,128.265625,98.203125,122.375,111.03125,101.90625,106.78125,101.609375,91.859375,88.125,87.90625,93.9375
0895.png,143.90625,122.875,124.796875,79.9375,103.765625,97.125,111.953125,73.140625,120.296875,72.0625,74.71875,51.15625,43.90625,35.9375,43.953125,53.0625
0954.png,131.0625,101.203125,138.375,126.046875,114.609375,138.921875,103.71875,100.765625,117.546875,94.125,92.703125,113.6875,97.6875,102.125,101.59375,85.890625
0242.png,112.015625,120.5625,153.671875,137.765625,118.453125,132.546875,119.984375,126.359375,136.890625,135.609375,124.53125,96.5,135.640625,119.96875,104.234375,81.46875
0664.png,106.0625,102.890625,128.453125,105.5625,99.203125,108.546875,103.71875,104.078125,117.40625,114.03125,103.890625,93.78125,99.734375,104.140625,112.25,95.328125
0610.png,134.234375,113.5,136.9375,120.671875,149.046875,122.234375,118.078125,101.96875,130.984375,107.296875,102.03125,96.015625,101.6875,82.171875,89.875,96.84375
0411.png,138.03125,98.390625,140.015625,105.5625,96.828125,123.390625,74.109375,105.296875,140.359375,93.78125,107.59375,74.40625,93.703125,70.21875,65.890625,70.15625
0683.png,127.390625,134.71875,156.046875,88.21875,123.109375,109.390625,103.96875,87.34375,124.46875,90.21875,105.703125,85.765625,67.921875,79.78125,64.125,67.09375
0141.png,133.859375,132.5,110.296875,98.984375,103.71875,79.859375,91.640625,62.71875,107.796875,64.171875,68.296875,56.890625,49.59375,41.953125,37.765625,55.0
0103.png,135.265625,123.984375,124.375,104.375,118.28125,85.0625,89.921875,62.21875,109.703125,81.921875,86.671875,70.1875,51.78125,36.078125,36.140625,43.59375
0192.png,117.0,141.859375,126.515625,93.78125,164.390625,79.703125,83.734375,71.8125,119.65625,80.1875,92.703125,80.15625,77.859375,74.046875,65.84375,66.59375
0829.png,124.25,120.28125,119.859375,119.875,103.1875,120.96875,103.953125,96.53125,123.296875,103.9375,92.140625,79.3125,71.890625,56.34375,63.9375,59.59375
0185.png,137.09375,128.53125,115.8125,113.859375,103.46875,97.90625,96.0625,80.71875,126.109375,89.703125,65.21875,65.984375,53.90625,54.328125,57.796875,49.578125
0824.png,133.625,129.328125,121.4375,75.078125,127.890625,103.828125,62.21875,74.09375,93.125,71.953125,75.578125,60.09375,47.96875,47.703125,40.5,36.625
0189.png,150.203125,130.171875,131.296875,116.390625,117.34375,128.609375,100.09375,100.546875,142.171875,111.921875,88.203125,75.125,69.65625,62.0,65.8125,70.53125
0173.png,140.421875,134.0625,153.515625,113.0625,145.421875,126.15625,131.3125,95.765625,148.0625,111.96875,98.15625,147.3125,123.421875,112.03125,99.9375,109.515625
0027.png,143.28125,102.921875,116.296875,113.3125,95.1875,89.625,93.875,84.453125,103.25,108.0,102.9375,84.421875,91.59375,83.96875,63.84375,72.828125
0150.png,119.53125,136.25,126.984375,72.5,100.875,112.125,93.859375,105.484375,129.265625,86.578125,94.25,86.375,85.78125,78.015625,69.65625,85.953125
