File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,128.265625,106.5625,119.5,134.40625,117.71875,125.203125,114.453125,122.5625,116.515625,132.234375,120.359375,117.46875,123.546875,129.25,124.828125,95.875
0656.png,118.90625,111.375,131.34375,106.40625,117.0,132.84375,106.078125,122.484375,118.1875,130.203125,124.390625,107.078125,125.4375,117.71875,115.09375,118.796875
0692.png,184.328125,139.53125,99.609375,104.5625,126.0625,119.40625,102.90625,89.84375,118.8125,110.625,134.953125,127.953125,114.171875,108.84375,122.59375,111.75
0211.png,220.078125,60.015625,55.359375,43.828125,44.671875,58.84375,46.53125,61.953125,36.71875,51.015625,61.109375,61.4375,54.15625,58.859375,59.390625,74.71875
0004.png,138.453125,98.84375,105.328125,108.078125,109.28125,136.609375,115.296875,112.96875,90.46875,133.4375,112.609375,131.625,141.8125,117.9375,113.15625,111.359375
0609.png,125.609375,108.265625,134.4375,147.5,122.28125,112.65625,129.859375,140.578125,122.890625,134.734375,110.15625,115.765625,137.671875,122.203125,114.515625,113.28125
0827.png,200.59375,98.8125,115.671875,125.84375,99.21875,111.078125,111.0625,108.796875,109.75,142.1875,108.75,102.53125,111.03125,121.453125,110.203125,117.203125
0120.png,142.359375,133.359375,96.765625,107.421875,131.484375,123.28125,114.75,126.640625,109.4375,116.140625,121.390625,123.421875,121.90625,112.96875,128.671875,120.21875
0848.png,155.640625,84.03125,119.390625,119.453125,77.40625,109.03125,102.265625,94.34375,92.859375,126.046875,96.671875,98.046875,109.40625,94.25,103.65625,91.15625
0994.png,140.453125,88.53125,84.109375,104.0,111.03125,138.171875,114.609375,116.0,120.53125,102.109375,102.828125,100.78125,122.734375,117.5625,118.0625,99.65625
0261.png,168.640625,88.1875,116.875,129.015625,116.3125,109.796875,108.3125,99.609375,132.0625,123.796875,133.640625,100.984375,113.734375,110.015625,110.34375,94.265625
0154.png,166.828125,58.3125,88.015625,86.25,70.421875,110.890625,91.421875,94.828125,76.109375,98.375,95.671875,97.234375,89.71875,92.4375,94.46875,93.328125
0838.png,112.578125,109.6875,96.546875,139.96875,138.84375,113.453125,131.625,116.15625,111.65625,112.34375,114.96875,109.875,112.078125,116.734375,128.359375,122.0625
0223.png,131.34375,89.25,89.9375,115.59375,92.796875,139.0625,135.8125,143.890625,102.6875,113.203125,123.203125,117.59375,141.484375,126.171875,121.546875,117.40625
0241.png,227.09375,50.703125,44.234375,47.5625,48.75,49.1875,41.21875,52.109375,42.4375,46.5,43.078125,44.015625,44.1875,44.234375,43.640625,50.671875
0512.png,179.890625,128.421875,109.3125,97.96875,94.65625,111.640625,105.609375,112.984375,95.328125,88.578125,102.34375,96.703125,88.640625,99.390625,94.328125,121.96875
0778.png,181.640625,89.203125,87.25,107.578125,108.1875,112.15625,108.265625,103.84375,109.9375,117.96875,117.625,113.0,127.5625,92.46875,100.21875,108.0625
