File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,110.265625,120.515625,142.484375,114.609375,122.21875,130.3125,113.546875,137.40625,144.796875,121.90625,119.390625,135.625,130.421875,123.984375,124.078125,121.96875
0656.png,94.359375,130.984375,121.484375,103.8125,137.78125,113.09375,125.015625,115.546875,149.4375,111.453125,122.609375,129.984375,120.453125,115.234375,114.921875,116.546875
0692.png,139.6875,131.328125,100.84375,120.15625,150.078125,127.140625,122.53125,122.109375,119.21875,120.5625,136.3125,110.390625,121.46875,134.984375,128.515625,124.9375
0211.png,108.796875,131.546875,127.9375,104.828125,128.703125,130.578125,101.0625,120.59375,120.515625,115.078125,129.171875,107.84375,118.953125,118.140625,121.21875,113.28125
0004.png,125.28125,119.828125,107.171875,137.0625,122.140625,123.5,137.03125,108.0625,117.046875,128.859375,113.09375,125.796875,125.578125,116.90625,121.828125,121.96875
0609.png,115.515625,137.953125,144.28125,138.296875,135.75,117.546875,135.75,136.5,134.25,127.40625,126.8125,131.046875,135.484375,121.265625,140.375,141.5
0827.png,134.515625,128.109375,143.78125,112.640625,126.984375,111.078125,113.859375,127.765625,135.484375,124.640625,116.5625,132.78125,114.265625,110.28125,125.96875,140.421875
0120.png,112.015625,122.9375,133.71875,106.375,136.453125,130.421875,127.203125,123.765625,140.015625,120.546875,112.546875,127.234375,137.609375,120.921875,126.140625,121.15625
0848.png,150.375,82.046875,117.5625,123.203125,109.3125,130.96875,131.15625,134.265625,132.90625,136.984375,137.359375,118.984375,122.578125,119.359375,118.40625,113.1875
0994.png,121.296875,108.640625,96.15625,131.90625,122.0625,122.03125,136.265625,109.78125,135.078125,138.3125,121.46875,125.859375,128.046875,124.765625,125.5625,115.203125
0261.png,130.390625,117.078125,123.828125,125.203125,131.4375,135.859375,121.25,125.5625,122.234375,117.28125,136.453125,145.546875,134.484375,124.515625,110.9375,125.421875
0154.png,115.84375,103.09375,107.9375,114.765625,126.65625,127.84375,105.1875,130.375,107.21875,131.359375,138.578125,132.515625,125.171875,141.953125,122.828125,143.390625
0838.png,131.296875,113.78125,145.796875,126.53125,127.828125,120.0625,123.1875,121.265625,141.921875,113.4375,132.578125,105.1875,143.6875,134.765625,138.5,136.9375
0223.png,103.1875,96.3125,133.359375,110.09375,103.734375,130.53125,123.96875,115.984375,112.96875,109.828125,128.5625,112.546875,132.828125,139.625,130.15625,123.4375
0241.png,182.359375,121.59375,116.703125,119.828125,136.046875,126.46875,132.734375,141.578125,108.046875,134.734375,114.984375,106.625,141.234375,120.984375,120.203125,126.828125
0512.png,170.09375,128.765625,98.921875,97.578125,119.09375,124.203125,133.171875,116.3125,130.625,123.078125,136.078125,122.421875,132.015625,117.203125,116.796875,106.6875
0778.png,132.125,112.265625,116.28125,114.890625,118.296875,133.703125,122.234375,122.8125,129.1875,112.171875,131.203125,123.4375,130.078125,110.40625,131.234375,125.390625
0020.png,148.34375,145.734375,107.140625,130.78125,146.53125,119.765625,120.25,117.671875,127.125,118.109375,131.40625,120.90625,126.0625,127.390625,118.5625,134.03125
0828.png,116.515625,153.5625,120.0,133.390625,132.75,116.5,115.8125,131.609375,119.90625,115.09375,133.5,123.96875,130.375,126.75,117.171875,118.640625
0523.png,123.078125,126.125,123.484375,100.5,147.96875,119.59375,106.65625,119.015625,122.15625,130.359375,130.125,138.296875,129.234375,117.796875,117.0,122.25
0445.png,99.75,157.84375,130.109375,125.046875,114.4375,126.71875,114.3125,115.921875,128.03125,125.65625,146.96875,112.328125,104.9375,128.21875,126.953125,127.625
0415.png,124.515625,125.9375,116.09375,103.03125,143.21875,104.84375,124.421875,129.640625,124.828125,111.34375,128.984375,110.859375,145.375,108.328125,125.078125,127.015625
0126.png,120.5,119.0625,119.5625,127.6875,126.484375,113.25,137.0,126.1875,124.21875,112.671875,135.421875,147.109375,126.3125,114.140625,123.75,122.6875
0608.png,126.578125,147.5625,115.15625,139.015625,116.03125,135.625,112.28125,130.234375,127.328125,135.171875,130.953125,123.265625,127.59375,119.984375,137.875,115.140625
0056.png,125.390625,128.671875,130.8125,112.328125,130.265625,129.5,101.515625,126.234375,137.03125,125.265625,123.390625,136.125,126.453125,132.34375,128.59375,126.796875
0739.png,161.3125,144.265625,134.703125,121.1875,126.03125,141.078125,114.296875,144.515625,134.359375,113.046875,132.9375,107.09375,125.390625,132.0625,127.21875,128.953125
0484.png,113.078125,111.359375,127.390625,128.890625,137.53125,123.328125,115.484375,119.3125,132.171875,148.984375,116.046875,121.21875,132.640625,150.515625,134.984375,127.0
0796.png,115.796875,89.078125,146.546875,120.796875,112.671875,122.53125,132.875,144.5625,136.03125,125.25,112.71875,127.84375,129.484375,151.046875,135.109375,98.484375
0750.png,129.296875,175.984375,112.71875,126.1875,156.75,137.296875,143.78125,125.171875,122.28125,122.53125,109.734375,128.8125,136.359375,123.34375,120.0625,135.859375
0399.png,123.359375,123.734375,135.265625,103.875,135.453125,109.109375,119.359375,140.75,123.90625,116.734375,129.078125,126.125,132.78125,121.90625,133.078125,129.8125
0890.png,152.03125,97.03125,99.890625,107.359375,121.53125,114.765625,118.953125,114.15625,117.640625,134.34375,132.265625,143.015625,149.265625,131.578125,120.40625,139.453125
0400.png,137.53125,113.015625,104.5625,135.78125,128.1875,122.171875,141.09375,116.28125,110.46875,127.8125,121.15625,130.28125,135.890625,131.953125,126.46875,120.125
0659.png,138.421875,140.09375,107.0625,118.015625,142.09375,131.1875,125.578125,135.9375,127.640625,104.671875,142.046875,126.5,119.8125,131.15625,115.96875,136.21875
0113.png,120.25,98.375,112.328125,111.46875,122.359375,125.296875,130.5,119.6875,140.953125,107.640625,126.90625,123.6875,137.5,128.125,143.65625,112.28125
