File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,112.828125,114.34375,131.140625,116.859375,94.828125,115.46875,121.453125,72.46875,129.25,116.34375,121.5625,112.0,104.1875,116.203125,126.125,117.34375
0656.png,93.140625,105.578125,114.3125,104.1875,131.84375,135.65625,124.0625,126.265625,126.46875,132.078125,136.046875,115.609375,131.953125,113.078125,118.875,111.0625
0692.png,143.703125,150.828125,99.953125,132.078125,150.40625,134.09375,86.828125,111.46875,88.796875,96.5625,105.765625,98.9375,107.109375,106.515625,110.515625,113.125
0211.png,109.875,127.953125,149.875,86.03125,107.890625,112.453125,84.890625,95.5,134.34375,94.0625,117.875,110.171875,120.09375,126.03125,104.65625,128.40625
0004.png,130.9375,82.6875,114.125,117.015625,112.34375,133.078125,119.4375,113.9375,111.609375,103.359375,124.828125,130.0625,100.828125,132.4375,112.09375,133.484375
0609.png,107.03125,110.921875,126.34375,118.796875,122.71875,123.53125,134.46875,132.640625,129.609375,106.734375,111.046875,111.1875,124.84375,125.203125,92.84375,109.203125
0827.png,123.84375,116.796875,120.125,65.71875,70.71875,86.75,81.8125,71.234375,104.78125,78.828125,92.71875,83.40625,82.140625,77.21875,89.875,91.59375
0120.png,119.125,118.890625,123.3125,121.859375,128.421875,129.90625,148.65625,105.5625,131.578125,111.953125,106.328125,134.25,122.828125,146.265625,118.84375,109.3125
0848.png,149.375,81.90625,138.53125,117.4375,111.234375,141.3125,126.234375,104.1875,115.171875,111.34375,121.6875,110.625,113.296875,107.828125,101.734375,118.875
0994.png,125.359375,85.828125,94.109375,105.53125,115.171875,126.28125,136.0,122.75,115.90625,135.3125,107.6875,108.328125,139.984375,101.625,113.34375,110.40625
0261.png,118.640625,77.28125,105.671875,84.734375,58.59375,89.28125,93.0,70.0,97.59375,100.5625,91.921875,94.765625,68.984375,83.5625,68.734375,72.625
0154.png,133.90625,111.421875,137.0,92.796875,93.390625,118.1875,93.375,93.265625,103.625,120.609375,128.953125,115.96875,111.640625,120.96875,89.84375,114.328125
0838.png,147.296875,106.53125,111.1875,113.765625,106.921875,114.6875,124.1875,95.71875,102.984375,120.3125,109.71875,133.125,105.046875,101.984375,104.890625,98.59375
0223.png,109.203125,96.671875,112.515625,134.25,98.5,116.6875,119.671875,103.046875,119.53125,112.640625,119.078125,92.09375,120.53125,133.90625,107.828125,100.25
0241.png,210.734375,133.03125,70.75,88.515625,94.84375,126.828125,79.078125,63.84375,69.765625,75.296875,82.09375,68.546875,56.765625,54.296875,60.28125,61.71875
0512.png,187.4375,87.46875,99.546875,62.921875,82.0625,84.34375,73.921875,81.71875,71.109375,65.75,83.609375,83.546875,65.828125,70.046875,84.0,74.859375
0778.png,153.203125,101.0,120.21875,112.453125,112.125,108.328125,81.390625,84.984375,100.5,118.25,116.609375,103.171875,117.03125,110.109375,103.046875,99.890625
0020.png,132.703125,138.765625,99.484375,104.734375,139.328125,127.1875,118.734375,119.84375,131.125,120.78125,127.59375,135.625,117.390625,141.75,108.109375,113.734375
0828.png,118.40625,129.40625,130.34375,111.21875,132.046875,125.078125,98.609375,121.765625,132.484375,116.8125,108.59375,104.28125,106.078125,113.375,101.15625,106.390625
0523.png,124.78125,77.5,139.0,108.765625,85.96875,129.15625,108.5625,125.6875,127.265625,115.296875,132.921875,113.96875,103.59375,90.46875,102.09375,115.625
0445.png,98.828125,165.3125,96.53125,97.40625,142.8125,132.8125,84.578125,97.34375,131.3125,94.78125,122.65625,111.671875,98.828125,100.078125,75.421875,88.96875
0415.png,123.6875,116.59375,117.671875,130.109375,134.125,96.375,101.125,106.421875,112.359375,118.53125,81.4375,102.546875,102.796875,102.78125,89.09375,122.875
0126.png,114.515625,144.53125,98.015625,95.265625,140.578125,113.4375,118.65625,129.25,115.765625,111.796875,123.828125,127.109375,136.59375,107.921875,89.0,134.59375
0608.png,106.78125,158.640625,110.1875,115.828125,132.28125,141.203125,105.671875,118.890625,117.765625,121.140625,112.921875,128.125,129.28125,117.53125,128.140625,123.203125
0056.png,120.1875,115.28125,111.671875,128.765625,123.765625,96.640625,132.390625,118.890625,125.296875,118.515625,110.296875,106.8125,140.03125,114.8125,115.671875,108.046875
0739.png,162.84375,166.921875,118.40625,86.640625,135.1875,105.796875,102.265625,91.109375,118.890625,91.609375,104.078125,106.71875,119.140625,114.546875,94.5,84.640625
0484.png,97.59375,134.0625,132.078125,116.578125,118.796875,106.453125,118.171875,113.953125,122.390625,123.484375,123.421875,127.6875,110.078125,104.21875,117.765625,123.046875
0796.png,106.640625,106.546875,153.546875,110.40625,107.09375,129.3125,99.328125,126.84375,142.96875,110.046875,131.78125,118.671875,128.71875,111.234375,117.25,114.546875
0750.png,128.28125,201.625,70.890625,97.5625,185.5,76.6875,89.234375,103.59375,78.5,93.265625,100.765625,114.671875,124.359375,89.40625,109.234375,95.609375
0399.png,126.625,118.625,122.515625,110.984375,125.5,148.359375,123.15625,128.765625,128.9375,103.0,133.078125,130.09375,130.96875,122.84375,117.296875,119.625
0890.png,144.203125,69.25,86.671875,100.40625,84.53125,130.390625,95.875,80.0625,88.203125,114.40625,141.0625,98.953125,119.484375,111.1875,106.75,101.734375
0400.png,138.359375,105.375,104.875,96.53125,96.03125,109.546875,117.609375,102.375,105.90625,105.546875,118.5625,91.453125,113.03125,98.71875,121.203125,104.796875
0659.png,121.09375,188.6875,110.828125,110.0625,164.6875,113.171875,111.328125,115.125,119.8125,112.421875,113.828125,86.046875,133.46875,136.671875,125.609375,119.046875
0113.png,124.203125,89.25,140.5,130.78125,105.921875,147.84375,116.484375,124.859375,115.3125,131.90625,134.640625,117.421875,115.0,110.65625,112.515625,109.03125
0776.png,176.890625,44.203125,91.0,83.890625,79.3125,91.296875,94.65625,91.1875,78.765625,87.578125,82.734375,87.5,80.875,73.28125,73.28125,68.265625
0443.png,104.90625,201.390625,129.734375,83.796875,153.546875,123.03125,106.453125,115.34375,105.9375,107.140625,101.03125,92.734375,62.59375,82.265625,73.609375,77.5625
0014.png,103.234375,93.109375,119.5,126.765625,116.15625,132.578125,132.265625,102.21875,105.75,136.09375,124.453125,108.09375,139.453125,99.578125,114.0,122.578125
0231.png,123.71875,119.515625,89.15625,109.734375,93.40625,119.265625,112.421875,128.0,88.28125,104.796875,127.59375,92.96875,111.5625,107.6875,108.859375,127.0625
0153.png,106.609375,151.984375,91.09375,138.390625,136.4375,129.9375,108.640625,102.4375,134.796875,130.921875,115.375,102.734375,127.046875,101.609375,113.75,109.578125
0576.png,128.4375,148.03125,122.34375,128.65625,124.875,132.265625,122.796875,119.515625,132.375,106.53125,105.21875,114.953125,99.546875,100.4375,72.296875,105.015625
0364.png,131.421875,106.453125,100.671875,96.296875,100.484375,103.484375,97.515625,109.421875,119.921875,98.90625,106.953125,91.546875,86.90625,92.03125,75.984375,69.828125
0872.png,123.953125,60.65625,91.0625,84.046875,71.046875,114.390625,104.703125,82.6875,125.859375,116.046875,97.515625,101.09375,105.21875,110.34375,80.796875,80.375
0635.png,138.140625,170.4375,112.671875,104.40625,151.9375,122.578125,114.078125,101.578125,94.171875,124.03125,109.953125,89.5625,102.953125,104.78125,95.734375,98.234375
0420.png,99.6875,102.375,128.484375,99.640625,115.625,148.328125,111.15625,104.640625,110.59375,111.859375,113.171875,121.625,119.125,92.53125,97.078125,100.296875
0686.png,104.109375,132.078125,127.65625,56.265625,112.53125,85.203125,78.703125,92.625,126.109375,97.625,91.078125,84.84375,102.515625,80.703125,78.5625,81.984375
0058.png,100.921875,90.203125,119.03125,91.453125,103.359375,141.09375,89.796875,116.0,121.078125,122.0,114.578125,100.546875,109.984375,106.265625,87.234375,99.96875
0145.png,107.734375,122.140625,88.890625,110.046875,102.0625,100.03125,108.8125,111.28125,111.109375,105.28125,111.734375,115.21875,101.65625,97.46875,106.90625,123.515625
0550.png,123.90625,128.09375,138.484375,127.921875,108.0625,111.15625,121.5,125.6875,127.328125,121.671875,122.6875,103.84375,122.96875,118.4375,120.609375,121.390625
0136.png,145.328125,108.375,122.40625,77.828125,114.234375,88.296875,102.4375,113.984375,122.6875,121.0625,114.640625,124.3125,111.421875,93.453125,97.375,92.453125
0505.png,132.359375,95.21875,107.703125,109.96875,90.34375,139.453125,98.8125,103.1875,104.234375,101.515625,87.59375,120.34375,115.046875,106.421875,109.671875,113.375
0449.png,144.46875,141.109375,129.265625,113.828125,137.515625,145.75,107.09375,112.0,115.421875,128.078125,120.390625,105.375,139.671875,123.0625,110.875,112.046875
0451.png,107.921875,138.59375,125.859375,114.59375,123.421875,144.296875,123.1875,133.609375,113.015625,110.890625,119.515625,110.3125,109.28125,120.84375,109.578125,120.40625
0138.png,117.890625,127.78125,113.09375,101.9375,117.765625,119.40625,131.90625,98.765625,99.078125,105.09375,117.703125,133.0,105.328125,106.78125,121.390625,107.5625
0244.png,135.859375,125.421875,113.6875,118.1875,140.359375,109.71875,124.78125,109.34375,126.546875,132.28125,112.359375,138.703125,136.859375,121.8125,108.65625,141.015625
0100.png,118.5625,106.71875,144.546875,103.140625,119.03125,136.296875,102.671875,97.625,140.984375,89.890625,111.84375,93.234375,121.15625,117.375,121.40625,117.109375
0531.png,143.0625,88.609375,105.5625,84.53125,99.359375,124.59375,120.078125,101.640625,100.84375,97.78125,89.90625,109.203125,105.25,112.421875,111.65625,119.578125
0917.png,163.546875,88.109375,109.78125,93.625,77.375,99.09375,111.140625,104.0625,107.703125,91.296875,94.921875,68.890625,84.65625,84.578125,86.796875,78.40625
0212.png,131.046875,162.53125,110.359375,99.5,118.296875,110.984375,82.3125,107.890625,120.46875,84.03125,117.6875,93.625,80.59375,92.359375,88.21875,86.921875
0377.png,203.921875,105.078125,82.6875,67.578125,90.28125,108.546875,65.484375,51.640625,75.03125,83.09375,73.484375,68.78125,56.359375,63.796875,62.96875,54.9375
0387.png,107.359375,101.140625,101.078125,106.90625,123.484375,137.21875,117.84375,97.765625,107.21875,106.984375,131.0,139.765625,120.921875,121.859375,102.609375,113.421875
0423.png,123.875,189.640625,123.71875,97.546875,161.484375,101.765625,117.390625,108.515625,133.359375,126.859375,118.125,102.796875,119.1875,110.140625,115.796875,112.859375
0267.png,120.734375,98.71875,83.234375,113.21875,107.90625,117.53125,107.75,124.21875,96.15625,107.109375,118.859375,103.0,120.40625,97.640625,117.15625,103.859375
0742.png,148.6875,116.703125,137.859375,74.90625,92.34375,145.484375,99.234375,114.375,131.75,95.0,125.03125,116.265625,92.203125,92.828125,113.078125,98.671875
0426.png,139.640625,139.90625,139.71875,105.015625,116.84375,115.3125,128.71875,118.859375,119.5625,109.21875,103.75,142.9375,129.671875,113.78125,101.453125,127.265625
0476.png,149.703125,103.078125,116.234375,106.890625,100.09375,99.015625,107.21875,101.046875,117.609375,110.9375,126.25,110.90625,121.890625,104.109375,108.578125,104.828125
0287.png,126.484375,99.375,107.3125,90.421875,95.828125,93.96875,105.4375,86.3125,119.90625,94.875,113.921875,100.171875,112.546875,86.03125,100.625,96.96875
0728.png,200.5625,64.0,58.203125,19.578125,33.125,46.078125,30.265625,38.375,28.53125,34.484375,40.46875,45.484375,29.453125,27.171875,30.25,29.953125
0787.png,196.34375,99.234375,82.421875,61.140625,61.875,83.21875,60.171875,63.265625,66.328125,62.453125,75.75,65.625,63.5,55.03125,57.703125,55.0625
0865.png,139.421875,95.125,141.171875,97.0,90.296875,115.234375,115.765625,118.9375,120.609375,124.296875,109.75,106.078125,135.234375,124.921875,130.390625,113.296875
0910.png,134.921875,151.765625,108.046875,89.625,131.890625,138.34375,111.53125,112.859375,100.296875,93.65625,97.59375,104.21875,91.96875,106.890625,119.140625,93.265625
0895.png,65.203125,59.140625,49.421875,55.9375,74.109375,92.375,51.515625,51.3125,52.71875,52.90625,54.546875,44.8125,61.9375,54.09375,57.0625,57.65625
0954.png,113.796875,90.421875,129.859375,108.515625,112.59375,141.21875,90.671875,115.0625,129.53125,127.96875,122.5625,121.765625,118.96875,113.359375,124.625,127.859375
0242.png,148.421875,145.078125,145.15625,135.671875,124.84375,118.375,139.296875,123.265625,106.015625,125.46875,127.28125,124.3125,124.328125,123.890625,119.25,123.28125
0664.png,119.0,109.0,99.734375,101.0,102.171875,108.1875,108.8125,115.1875,119.875,112.46875,126.953125,119.046875,127.65625,106.921875,112.40625,114.28125
0610.png,136.140625,162.65625,117.078125,108.9375,145.53125,121.46875,128.359375,112.609375,129.15625,118.15625,121.515625,120.84375,122.375,113.625,106.875,110.171875
0411.png,144.125,113.359375,167.765625,134.21875,108.609375,134.84375,93.5625,99.671875,162.484375,93.4375,112.890625,111.65625,99.453125,105.515625,95.546875,105.171875
0683.png,122.140625,127.625,180.90625,88.8125,126.03125,117.625,132.59375,107.84375,144.609375,117.0,93.671875,102.875,108.59375,110.5,120.9375,102.671875
0141.png,174.453125,111.703125,70.484375,39.5,66.5625,67.515625,62.671875,58.171875,52.03125,48.0625,70.859375,56.15625,32.59375,30.515625,39.296875,38.03125
0103.png,151.078125,84.6875,118.421875,111.921875,91.921875,89.390625,102.6875,70.921875,119.640625,115.796875,102.234375,94.65625,96.171875,83.875,64.765625,82.65625
0192.png,142.59375,135.484375,108.03125,118.734375,160.90625,117.296875,107.65625,100.078125,110.8125,118.28125,114.609375,99.609375,129.25,95.421875,94.3125,88.625
0829.png,111.8125,156.859375,138.609375,108.171875,128.46875,130.734375,118.171875,106.546875,123.6875,109.15625,120.796875,103.65625,115.59375,99.6875,101.90625,89.546875
0185.png,127.984375,67.421875,68.953125,49.671875,67.34375,73.984375,77.078125,70.484375,73.890625,94.671875,80.984375,60.953125,55.96875,64.390625,55.78125,51.59375
0824.png,143.171875,131.59375,67.515625,102.609375,123.5,130.234375,91.671875,128.046875,107.0625,115.65625,117.078125,115.5625,129.625,114.234375,115.765625,110.328125
0189.png,89.09375,109.609375,168.796875,71.90625,99.671875,155.6875,91.828125,98.796875,144.5625,85.09375,138.125,93.296875,129.6875,100.953125,107.625,124.625
0173.png,105.640625,122.046875,123.53125,124.328125,142.546875,116.234375,126.125,129.109375,137.265625,126.5,133.859375,102.515625,115.03125,127.890625,137.28125,125.546875
0027.png,150.484375,73.421875,92.578125,107.21875,69.234375,107.109375,85.484375,84.78125,94.515625,116.484375,107.65625,92.84375,99.609375,85.203125,84.703125,73.6875
0150.png,149.296875,122.8125,123.25,84.59375,119.15625,123.09375,117.328125,135.953125,115.234375,109.21875,97.21875,126.6875,106.484375,125.796875,113.203125,133.859375
0207.png,69.828125,163.46875,105.375,66.078125,127.109375,131.046875,85.84375,86.71875,96.59375,80.625,97.34375,74.046875,60.796875,67.765625,63.953125,71.859375
0129.png,174.859375,106.140625,116.3125,83.265625,91.609375,112.625,71.5625,79.21875,80.859375,82.765625,85.375,100.734375,77.21875,84.59375,80.65625,90.046875
0478.png,122.65625,125.65625,116.265625,99.09375,91.890625,150.171875,110.140625,105.78125,114.0625,119.125,128.75,124.953125,120.546875,124.9375,94.78125,117.453125
0823.png,88.6875,74.875,101.625,84.546875,76.703125,121.359375,86.671875,89.5,120.5,105.953125,105.640625,95.359375,78.390625,99.4375,104.34375,87.140625
0127.png,57.765625,105.359375,92.6875,64.375,82.53125,79.09375,79.765625,86.890625,82.34375,77.828125,72.734375,70.59375,62.984375,70.109375,60.9375,77.90625
0452.png,134.546875,122.109375,111.890625,111.859375,103.578125,124.578125,123.03125,129.328125,125.109375,120.15625,136.03125,120.15625,114.484375,118.28125,117.203125,128.375
0920.png,114.140625,154.453125,135.09375,89.453125,108.71875,100.796875,106.78125,85.859375,110.609375,88.84375,89.359375,80.21875,81.234375,82.703125,77.125,85.03125
0657.png,140.71875,150.875,75.515625,92.34375,101.828125,86.5,87.390625,94.53125,96.375,82.078125,84.34375,104.03125,62.671875,77.984375,69.234375,66.953125
0927.png,106.125,147.0,101.6875,71.671875,119.859375,111.40625,86.59375,67.796875,108.875,86.875,90.859375,78.59375,106.640625,86.1875,92.78125,88.671875
0597.png,111.328125,98.328125,124.03125,136.140625,107.0625,100.1875,127.59375,139.296875,137.765625,133.109375,102.34375,122.0,131.140625,127.234375,118.96875,100.21875
0381.png,130.71875,141.921875,122.921875,83.328125,119.8125,95.34375,85.0,91.125,114.765625,94.375,92.6875,91.40625,81.3125,66.3125,69.359375,68.5
0665.png,72.296875,42.734375,41.328125,48.46875,36.6875,53.40625,39.875,40.78125,41.984375,49.3125,48.328125,60.828125,43.78125,33.0,44.15625,55.90625
0304.png,142.0,129.078125,127.703125,83.03125,119.265625,101.203125,94.40625,96.578125,130.734375,104.4375,116.375,111.984375,93.65625,101.515625,106.34375,77.703125
0985.png,117.0625,89.515625,109.984375,125.65625,109.484375,134.015625,107.46875,134.015625,131.84375,135.9375,132.40625,118.671875,131.59375,122.109375,113.8125,100.09375
0950.png,115.84375,88.484375,116.234375,93.4375,91.953125,122.953125,97.734375,95.46875,120.65625,115.609375,112.890625,95.40625,112.390625,90.28125,96.875,98.46875
0025.png,135.421875,104.109375,90.734375,99.40625,88.40625,122.4375,123.8125,110.9375,104.109375,106.546875,134.484375,99.421875,123.6875,136.1875,101.375,125.515625
0297.png,135.1875,157.125,111.640625,117.375,164.390625,115.671875,111.6875,87.515625,103.25,104.5,134.0625,102.140625,136.765625,105.921875,105.296875,126.03125
0864.png,147.734375,186.671875,130.734375,91.28125,129.046875,103.453125,92.765625,80.75,109.0,99.453125,92.0,72.625,75.8125,70.03125,55.734375,50.921875
0067.png,197.765625,117.53125,79.453125,76.6875,93.140625,96.90625,85.59375,88.90625,88.203125,89.5,91.75,100.65625,76.140625,85.90625,91.140625,92.71875
0239.png,146.59375,131.1875,114.359375,90.328125,125.109375,126.375,119.421875,96.8125,142.90625,123.375,118.421875,123.1875,141.65625,113.71875,111.453125,104.828125
0780.png,117.40625,129.90625,136.9375,109.15625,137.515625,112.375,99.390625,125.625,136.5625,124.0,149.53125,118.46875,134.140625,114.65625,103.578125,98.9375
0971.png,118.6875,169.90625,123.703125,82.375,174.390625,118.15625,99.578125,108.9375,129.875,90.3125,93.890625,93.359375,110.09375,79.140625,92.078125,102.75
0641.png,79.03125,118.015625,118.453125,111.265625,101.71875,78.5,110.53125,96.1875,121.34375,99.5,133.484375,120.28125,131.421875,107.765625,101.796875,103.78125
0408.png,119.375,123.25,111.234375,64.953125,127.265625,121.90625,92.5625,110.890625,115.078125,90.015625,100.875,101.015625,102.515625,83.59375,91.5625,78.046875
0566.png,141.5625,91.671875,60.375,77.59375,97.421875,89.078125,74.5,98.890625,69.28125,77.25,92.046875,99.359375,97.3125,87.953125,89.390625,90.46875
