File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,118.578125,125.484375,101.984375,115.125,124.546875,121.671875,109.921875,94.15625,113.765625,118.703125,130.796875,128.328125,112.375,115.890625,122.875,116.640625
0656.png,95.53125,122.0,119.84375,121.71875,127.375,137.4375,107.453125,111.921875,115.546875,126.375,134.84375,128.703125,112.28125,127.203125,113.71875,129.5
0692.png,149.46875,159.171875,115.59375,113.890625,143.78125,127.0625,114.5,102.0,109.59375,104.71875,123.5625,115.96875,109.421875,104.203125,118.0,109.625
0211.png,102.65625,128.0,111.3125,108.875,122.328125,96.28125,125.015625,137.3125,130.28125,116.078125,138.828125,116.15625,144.921875,123.6875,129.421875,136.234375
0004.png,130.984375,110.625,90.390625,138.5,119.625,116.0625,106.96875,122.625,120.171875,118.859375,106.328125,125.78125,126.9375,130.71875,111.8125,120.921875
0609.png,111.4375,113.6875,130.703125,132.671875,124.46875,127.1875,117.78125,112.09375,128.015625,136.5625,130.6875,117.40625,102.4375,128.203125,128.65625,105.953125
0827.png,127.359375,116.609375,134.453125,113.78125,86.265625,105.359375,115.109375,102.53125,125.484375,120.375,112.65625,114.5,106.265625,100.96875,110.203125,117.765625
0120.png,121.046875,139.3125,108.671875,114.90625,134.984375,139.53125,119.96875,119.703125,128.359375,119.578125,140.453125,109.171875,124.34375,134.15625,106.921875,137.046875
0848.png,144.40625,102.40625,127.03125,115.09375,109.0,123.5,122.140625,121.796875,118.046875,101.578125,108.015625,132.3125,118.3125,115.546875,127.03125,110.25
0994.png,129.84375,109.84375,132.703125,127.5,126.484375,141.875,122.515625,143.578125,132.546875,126.984375,126.53125,121.40625,133.890625,133.65625,129.046875,113.40625
0261.png,121.1875,103.21875,141.71875,88.078125,110.234375,109.734375,107.484375,111.046875,109.53125,109.296875,105.609375,115.671875,89.109375,113.71875,87.890625,92.359375
0154.png,123.953125,128.796875,124.65625,111.1875,116.671875,119.109375,118.53125,125.078125,116.203125,132.203125,128.75,128.671875,115.9375,114.53125,110.703125,122.375
0838.png,157.15625,106.796875,102.0,111.28125,117.8125,110.203125,113.46875,114.890625,122.84375,114.046875,127.421875,123.53125,115.46875,105.625,129.59375,113.921875
0223.png,119.1875,110.046875,120.078125,109.828125,123.609375,139.09375,106.515625,118.03125,130.609375,128.546875,105.90625,126.78125,118.078125,120.140625,128.21875,126.5625
0241.png,193.984375,125.9375,101.578125,109.53125,113.125,113.84375,101.96875,97.359375,101.265625,109.46875,100.34375,91.484375,91.109375,98.8125,107.53125,95.65625
0512.png,180.953125,118.46875,115.25,103.109375,83.96875,112.46875,102.671875,106.59375,80.59375,97.375,104.984375,101.171875,89.140625,108.875,102.6875,119.859375
0778.png,147.625,111.234375,114.59375,111.421875,115.703125,107.9375,124.59375,112.328125,117.359375,122.265625,103.828125,117.75,105.265625,100.515625,114.8125,122.25
0020.png,155.90625,145.6875,95.078125,144.609375,146.609375,118.28125,90.734375,125.90625,123.015625,113.390625,104.78125,119.328125,116.65625,124.109375,115.421875,145.78125
0828.png,110.5625,145.34375,124.765625,101.4375,135.03125,119.28125,123.78125,121.71875,127.046875,111.359375,107.03125,120.125,115.03125,115.3125,124.375,111.390625
0523.png,130.390625,96.65625,138.421875,107.015625,112.75,142.328125,113.640625,116.046875,122.734375,109.9375,107.65625,108.453125,131.578125,104.09375,109.421875,119.21875
0445.png,107.078125,137.59375,109.828125,123.265625,147.84375,123.796875,120.140625,110.734375,114.046875,120.390625,123.203125,118.25,93.09375,92.1875,105.9375,107.953125
0415.png,125.703125,122.34375,121.96875,125.90625,131.125,128.453125,111.828125,126.671875,115.265625,129.984375,90.140625,123.28125,117.296875,107.078125,111.609375,109.5625
0126.png,127.0625,143.828125,125.15625,118.375,111.734375,116.21875,117.484375,129.640625,110.28125,100.953125,125.875,125.703125,112.34375,131.203125,124.28125,126.953125
