File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,107.953125,117.078125,121.3125,104.03125,125.21875,134.515625,125.03125,87.8125,115.59375,96.5,108.046875,98.546875,88.34375,93.390625,95.59375,87.984375
0656.png,84.65625,126.65625,126.765625,114.0625,133.09375,120.234375,87.71875,115.046875,116.296875,107.03125,92.03125,98.03125,97.875,93.5,77.46875,70.0625
0692.png,153.75,139.375,116.25,117.046875,165.125,140.0625,98.140625,113.953125,109.640625,86.21875,116.65625,129.40625,99.671875,103.765625,91.65625,100.046875
0211.png,107.8125,129.296875,133.390625,105.453125,133.984375,108.1875,102.953125,92.609375,133.015625,100.234375,130.75,104.90625,85.5,74.71875,70.984375,100.59375
0004.png,123.0,94.0,95.875,127.609375,94.796875,125.5625,119.765625,112.8125,121.046875,143.625,108.40625,129.09375,143.515625,120.09375,122.75,128.0625
0609.png,117.40625,114.234375,136.453125,136.78125,113.375,118.640625,113.296875,108.9375,112.453125,118.796875,117.734375,114.5625,131.328125,95.5625,95.4375,95.984375
0827.png,143.59375,126.328125,109.75,57.125,104.421875,91.25,72.46875,77.0,84.8125,66.484375,96.46875,61.875,69.953125,53.9375,50.03125,52.203125
0120.png,115.0625,141.3125,122.9375,126.234375,142.296875,115.953125,123.859375,107.34375,123.859375,114.25,108.5,105.9375,137.671875,109.765625,102.09375,86.015625
0848.png,154.46875,93.46875,123.765625,131.421875,96.78125,146.109375,137.21875,109.59375,113.0,129.46875,114.109375,106.265625,101.296875,95.421875,102.03125,102.046875
0994.png,128.125,80.1875,108.703125,114.4375,111.8125,133.3125,92.84375,125.140625,115.296875,125.484375,117.40625,111.65625,111.65625,112.28125,87.078125,96.046875
0261.png,127.359375,77.140625,94.0,65.8125,54.953125,74.453125,58.265625,58.28125,86.3125,53.703125,84.109375,42.03125,39.921875,44.125,43.984375,48.015625
0154.png,133.640625,100.90625,120.546875,106.125,97.09375,120.390625,110.828125,107.484375,119.546875,103.21875,110.5,85.125,115.765625,91.375,83.96875,95.890625
0838.png,143.859375,130.71875,116.265625,114.828125,109.71875,88.90625,102.578125,86.0625,121.125,104.1875,130.296875,104.109375,105.9375,73.625,73.90625,78.109375
0223.png,135.25,104.8125,98.734375,106.921875,96.90625,89.296875,109.3125,110.125,90.5,79.03125,122.671875,97.765625,98.984375,88.34375,92.125,88.15625
0241.png,212.578125,65.875,59.84375,82.75,69.625,79.1875,70.1875,68.796875,68.421875,72.609375,72.328125,78.015625,64.21875,67.703125,59.46875,51.546875
0512.png,183.875,74.515625,78.546875,75.46875,79.34375,92.0625,75.109375,70.6875,77.28125,62.65625,80.765625,77.578125,77.703125,77.671875,78.0625,80.234375
0778.png,152.28125,105.5,103.15625,96.203125,99.3125,87.984375,93.46875,76.71875,116.46875,82.296875,128.765625,65.390625,61.75,57.421875,46.015625,57.90625
0020.png,151.4375,139.765625,105.296875,121.390625,160.1875,108.15625,118.90625,102.984375,123.640625,93.703125,128.25,97.0625,111.9375,96.78125,111.9375,95.875
0828.png,117.609375,135.78125,121.46875,94.140625,145.28125,103.609375,86.703125,68.671875,127.640625,88.296875,107.375,90.265625,75.890625,61.0,60.609375,83.9375
0523.png,127.328125,90.96875,124.6875,105.171875,103.328125,132.078125,105.875,108.0,113.59375,114.828125,104.515625,102.625,121.71875,101.359375,97.078125,104.34375
0445.png,90.953125,135.15625,105.375,88.34375,154.90625,102.515625,82.0625,72.28125,88.921875,79.953125,80.0,63.234375,69.828125,57.375,49.90625,50.03125
0415.png,124.234375,113.28125,89.34375,119.328125,129.75,96.765625,92.03125,99.421875,113.578125,98.453125,110.0625,74.96875,89.703125,89.71875,70.28125,75.8125
0126.png,114.0,143.75,102.875,141.8125,127.296875,111.703125,98.34375,110.59375,122.59375,106.640625,129.359375,117.1875,123.578125,128.109375,83.984375,102.390625
0608.png,125.421875,135.984375,96.375,95.65625,139.984375,144.71875,80.53125,84.1875,123.25,98.6875,113.015625,84.921875,80.015625,84.109375,83.796875,67.984375
0056.png,113.25,122.203125,140.015625,114.078125,122.28125,119.515625,109.453125,134.25,126.515625,103.0625,113.703125,112.609375,127.5625,86.734375,96.1875,94.0625
0739.png,172.59375,162.609375,105.5625,77.9375,146.03125,116.546875,82.125,71.25,106.5625,67.953125,75.515625,74.484375,73.84375,90.140625,77.75,72.140625
0484.png,124.4375,105.59375,105.703125,121.1875,115.734375,120.21875,135.796875,127.671875,133.75,115.25,118.640625,125.640625,131.96875,128.328125,123.71875,112.046875
0796.png,130.765625,101.90625,166.09375,117.015625,111.703125,122.265625,96.875,119.375,150.390625,105.140625,113.984375,118.953125,97.515625,89.140625,101.125,67.28125
0750.png,122.984375,207.953125,71.21875,101.03125,180.8125,107.109375,99.515625,79.5,76.421875,84.265625,89.265625,86.765625,79.953125,72.0625,67.671875,71.96875
