File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,114.484375,130.515625,125.4375,127.359375,114.546875,114.28125,106.125,115.21875,119.390625,115.921875,88.15625,87.296875,98.0,90.34375,85.3125,86.96875
0656.png,90.078125,136.140625,113.515625,111.0,126.375,140.828125,94.109375,133.859375,96.5,124.109375,99.109375,111.5625,109.8125,110.09375,95.046875,101.78125
0692.png,158.609375,151.515625,123.703125,107.78125,141.375,132.265625,101.84375,110.296875,107.1875,107.8125,128.34375,112.015625,97.75,89.75,82.078125,85.515625
0211.png,108.953125,124.0,164.875,91.890625,115.890625,105.6875,97.890625,99.40625,134.390625,92.25,127.4375,111.359375,89.765625,74.234375,78.109375,81.609375
0004.png,128.171875,90.109375,106.703125,112.703125,80.921875,141.703125,113.984375,93.671875,79.859375,99.859375,109.53125,115.609375,93.78125,86.0625,69.9375,74.265625
0609.png,106.375,105.703125,129.671875,121.734375,119.21875,140.5625,115.921875,100.8125,120.578125,95.875,123.296875,115.34375,97.671875,102.296875,89.9375,93.625
0827.png,155.984375,103.640625,135.25,71.21875,72.171875,105.578125,79.84375,76.96875,99.0,76.0,91.984375,68.84375,59.90625,59.921875,52.09375,62.875
0120.png,105.96875,135.0,100.90625,124.484375,140.953125,124.203125,102.0,105.703125,106.40625,100.078125,92.171875,79.984375,91.875,91.671875,72.15625,99.671875
0848.png,149.8125,77.78125,129.0625,100.4375,75.4375,133.859375,93.0,110.75,110.390625,113.75,121.609375,110.546875,115.90625,88.46875,84.125,95.8125
0994.png,125.828125,87.828125,102.078125,104.765625,103.328125,139.75,96.390625,108.5,100.1875,117.96875,113.4375,97.734375,123.640625,111.8125,112.125,104.53125
0261.png,123.40625,71.40625,87.6875,65.46875,57.03125,77.265625,64.109375,56.15625,78.28125,54.09375,62.03125,45.6875,39.90625,47.84375,36.0,51.296875
0154.png,119.328125,88.421875,112.5625,86.0,99.75,111.828125,99.96875,99.359375,93.203125,118.328125,102.984375,111.84375,95.75,72.046875,81.015625,109.65625
0838.png,160.515625,113.890625,124.546875,98.5625,99.671875,103.296875,84.09375,91.8125,111.1875,86.109375,85.171875,105.53125,105.6875,86.390625,89.78125,81.46875
0223.png,122.359375,91.5,105.578125,106.953125,92.859375,121.75,108.640625,115.9375,93.5625,106.078125,97.75,106.421875,89.71875,102.0625,97.609375,94.09375
0241.png,206.875,101.421875,62.609375,70.546875,87.03125,100.640625,84.078125,71.65625,49.6875,66.078125,50.0625,49.8125,59.90625,68.203125,55.8125,51.46875
0512.png,188.328125,73.703125,69.296875,73.34375,62.28125,81.765625,69.765625,73.453125,71.0625,77.703125,55.828125,66.375,79.828125,55.734375,71.8125,64.03125
0778.png,155.359375,101.1875,107.234375,88.3125,78.828125,83.6875,58.140625,81.703125,99.578125,86.21875,102.171875,73.171875,75.84375,48.0,56.078125,60.109375
0020.png,154.140625,138.6875,120.078125,97.609375,161.265625,110.28125,112.125,81.1875,104.90625,101.90625,124.65625,98.84375,87.75,99.953125,76.125,104.21875
0828.png,116.40625,137.453125,141.578125,95.984375,115.0625,107.5,107.953125,89.765625,128.46875,92.015625,111.65625,78.125,85.765625,77.890625,85.90625,78.359375
0523.png,134.25,80.921875,139.296875,111.5,98.78125,132.421875,104.484375,96.328125,121.40625,86.28125,109.796875,92.859375,99.984375,91.84375,91.9375,114.71875
0445.png,110.546875,168.109375,92.359375,71.03125,154.453125,112.890625,69.984375,77.640625,80.703125,91.953125,84.734375,71.765625,71.890625,64.140625,59.890625,66.953125
0415.png,117.484375,119.9375,107.140625,125.28125,130.5,91.59375,103.9375,114.171875,117.015625,106.171875,68.515625,83.875,77.90625,93.890625,82.125,87.359375
0126.png,113.140625,144.890625,102.859375,106.953125,110.15625,112.234375,92.1875,100.296875,108.09375,108.21875,115.953125,80.5,81.859375,98.15625,90.109375,89.96875
0608.png,109.234375,138.265625,79.515625,74.90625,117.296875,140.859375,72.515625,88.25,90.28125,90.46875,92.578125,102.125,77.9375,82.0,82.046875,62.125
0056.png,133.453125,132.953125,136.734375,101.828125,121.953125,102.703125,101.90625,117.96875,125.9375,120.421875,104.8125,106.828125,97.734375,98.03125,81.96875,104.921875
0739.png,171.984375,167.5,124.65625,84.703125,154.703125,123.4375,93.953125,78.5625,112.71875,62.15625,94.1875,85.515625,39.765625,43.921875,39.921875,48.15625
0484.png,119.734375,136.078125,132.46875,89.421875,121.828125,124.34375,100.109375,86.671875,126.84375,106.5,94.90625,113.28125,101.828125,98.109375,89.828125,105.984375
0796.png,121.765625,121.015625,180.21875,102.96875,102.21875,113.359375,91.71875,98.015625,148.359375,96.015625,126.96875,105.953125,103.8125,103.8125,95.546875,84.828125
0750.png,130.953125,208.4375,57.59375,58.421875,198.984375,65.1875,74.03125,85.546875,55.421875,45.9375,42.265625,57.328125,53.828125,57.96875,54.140625,53.484375
0399.png,114.046875,118.515625,112.421875,109.328125,114.109375,143.375,106.21875,109.375,116.25,87.875,139.578125,120.59375,113.609375,97.921875,118.046875,129.09375
0890.png,162.296875,74.609375,64.9375,102.359375,96.390625,152.859375,85.921875,74.953125,71.25,97.875,82.4375,89.96875,81.765625,62.3125,73.890625,65.609375
0400.png,141.515625,83.171875,84.640625,81.515625,86.671875,90.921875,90.640625,73.578125,78.953125,102.03125,98.1875,85.59375,71.703125,75.5625,68.390625,56.671875
0659.png,158.03125,166.546875,114.46875,89.921875,153.484375,107.109375,82.015625,97.546875,108.078125,102.0625,102.328125,89.984375,77.734375,74.09375,62.078125,85.78125
0113.png,126.6875,93.28125,115.5625,130.953125,99.140625,132.59375,115.90625,113.09375,132.625,108.1875,136.375,115.578125,95.71875,103.875,88.109375,100.640625
0776.png,172.6875,63.65625,104.234375,75.953125,75.3125,98.265625,83.859375,91.875,99.40625,88.03125,84.40625,64.21875,71.734375,75.90625,64.359375,63.6875
0443.png,104.78125,194.0,120.546875,80.15625,157.640625,119.859375,80.09375,80.09375,83.359375,96.0625,99.921875,72.59375,60.0,52.03125,55.96875,43.796875
0014.png,104.109375,115.828125,104.859375,110.703125,118.40625,136.6875,120.203125,129.625,88.8125,94.359375,110.6875,102.5,99.703125,92.375,71.953125,88.234375
0231.png,120.671875,121.375,53.0625,107.8125,112.859375,124.921875,102.09375,122.0625,77.828125,94.03125,86.21875,81.84375,89.8125,82.015625,78.046875,89.765625
0153.png,85.765625,160.234375,103.5625,98.046875,128.671875,132.203125,98.09375,109.75,87.921875,102.3125,106.703125,105.375,86.09375,90.421875,86.03125,90.421875
0576.png,121.734375,131.5,148.1875,89.28125,127.0,111.453125,77.9375,98.34375,111.5,104.125,108.875,124.53125,67.921875,64.109375,63.9375,64.234375
0364.png,119.53125,101.296875,129.890625,86.5,100.25,89.1875,61.984375,89.53125,103.390625,80.140625,71.984375,76.109375,63.875,56.0625,44.09375,36.3125
0872.png,126.09375,59.90625,83.4375,78.078125,70.90625,94.1875,77.890625,97.234375,83.21875,64.0625,84.203125,72.21875,51.765625,56.015625,63.96875,59.84375
0635.png,134.828125,173.921875,93.984375,95.0625,139.828125,113.46875,103.734375,108.921875,90.953125,91.640625,73.3125,91.9375,75.8125,67.90625,72.21875,47.921875
0420.png,101.828125,110.15625,96.84375,105.8125,113.125,116.5,87.78125,111.796875,101.234375,106.140625,121.625,98.046875,85.640625,77.890625,66.046875,58.328125
0686.png,111.859375,142.6875,132.0,62.921875,118.375,91.546875,75.75,79.421875,103.28125,72.09375,87.625,72.359375,55.875,36.09375,67.84375,53.015625
0058.png,103.703125,83.609375,121.03125,93.890625,119.078125,146.453125,104.171875,103.265625,87.984375,92.0625,116.21875,73.171875,107.75,80.078125,92.21875,69.765625
0145.png,111.8125,111.125,88.546875,103.890625,99.625,102.96875,90.203125,85.71875,80.140625,103.921875,83.828125,64.265625,61.875,74.03125,54.046875,69.734375
0550.png,104.984375,118.65625,116.3125,107.328125,105.828125,106.765625,125.953125,114.484375,126.84375,124.1875,108.328125,123.53125,125.8125,110.03125,90.265625,98.265625
0136.png,119.109375,112.984375,106.65625,63.203125,127.8125,99.4375,79.84375,101.171875,107.8125,75.96875,95.0,77.90625,75.890625,67.234375,72.890625,63.828125
0505.png,148.234375,107.953125,81.859375,99.125,106.546875,150.359375,63.9375,80.453125,99.15625,67.875,77.390625,87.8125,61.9375,66.203125,73.8125,73.234375
0449.png,159.625,137.984375,115.515625,103.484375,138.109375,144.125,110.140625,106.546875,122.9375,92.28125,134.046875,91.40625,101.859375,94.140625,77.921875,93.703125
0451.png,114.390625,114.75,105.890625,122.65625,121.75,134.390625,110.390625,122.234375,104.375,99.59375,124.34375,71.75,103.71875,100.015625,97.28125,101.40625
0138.png,118.625,136.78125,96.515625,72.921875,128.328125,104.96875,106.109375,106.015625,91.96875,56.53125,91.703125,72.484375,81.78125,77.640625,69.90625,81.609375
0244.png,135.40625,137.890625,122.046875,130.671875,122.859375,101.984375,126.171875,117.71875,119.53125,105.796875,101.921875,101.390625,107.734375,123.0,115.984375,86.046875
0100.png,123.375,109.578125,122.078125,79.15625,121.890625,75.8125,90.03125,86.171875,115.34375,93.703125,125.734375,73.78125,73.71875,62.03125,65.9375,59.765625
0531.png,141.40625,101.71875,141.65625,115.640625,73.28125,114.859375,87.984375,107.5625,104.828125,120.015625,88.09375,83.90625,83.65625,60.09375,83.984375,71.71875
0917.png,166.203125,91.0,115.96875,84.171875,69.15625,108.203125,79.875,95.859375,101.71875,65.96875,94.34375,94.15625,61.8125,54.078125,62.109375,70.5625
0212.png,138.453125,155.421875,105.59375,63.390625,132.203125,98.640625,75.65625,92.578125,84.46875,83.96875,100.9375,87.6875,67.796875,64.015625,56.21875,59.4375
0377.png,207.796875,81.53125,72.234375,68.078125,77.765625,135.1875,69.953125,58.109375,61.921875,86.15625,78.953125,49.625,47.9375,63.9375,52.125,44.5
0387.png,114.203125,101.921875,73.265625,101.515625,132.796875,108.765625,83.984375,87.6875,94.765625,105.78125,105.8125,97.65625,85.75,73.984375,73.734375,86.15625
0423.png,124.6875,173.453125,87.25,74.71875,171.875,87.234375,79.859375,96.421875,104.046875,79.625,84.0625,107.390625,75.6875,80.21875,84.1875,76.21875
0267.png,116.484375,91.421875,77.671875,108.671875,104.8125,91.625,93.96875,118.265625,85.90625,88.21875,110.125,96.109375,87.71875,88.03125,87.875,79.96875
0742.png,127.59375,92.125,127.78125,94.359375,121.859375,171.046875,66.125,77.484375,118.109375,88.3125,85.546875,75.265625,73.6875,69.953125,70.3125,85.265625
0426.png,130.828125,141.640625,120.375,138.015625,129.609375,125.34375,115.875,116.15625,143.65625,125.90625,118.25,113.78125,117.609375,118.046875,106.0,102.359375
0476.png,149.96875,101.6875,116.3125,130.765625,117.890625,111.9375,106.625,87.734375,111.59375,105.984375,121.71875,102.46875,107.671875,92.359375,92.78125,87.25
0287.png,126.59375,94.34375,90.1875,78.890625,90.875,72.765625,67.546875,100.375,93.0,85.0625,109.9375,90.609375,61.875,102.5,82.25,94.4375
0728.png,186.40625,102.53125,59.609375,20.109375,51.765625,54.890625,35.953125,40.1875,30.0,25.9375,33.734375,34.046875,19.9375,27.953125,24.203125,24.078125
0787.png,193.40625,65.359375,63.28125,57.828125,57.359375,91.578125,70.21875,54.234375,61.78125,61.765625,63.71875,63.03125,49.984375,61.75,49.953125,62.21875
0865.png,111.578125,79.796875,130.78125,86.828125,89.25,132.078125,103.859375,123.609375,137.828125,104.203125,115.953125,104.296875,91.65625,100.03125,104.109375,107.953125
0910.png,137.578125,148.203125,98.09375,103.734375,122.625,130.609375,110.1875,99.859375,83.1875,97.734375,101.84375,110.3125,101.65625,82.3125,82.109375,88.65625
0895.png,54.578125,63.328125,34.640625,49.671875,71.84375,117.8125,43.953125,39.921875,32.203125,44.03125,46.984375,42.96875,37.90625,41.921875,33.953125,38.71875
0954.png,120.078125,128.859375,112.765625,107.75,113.140625,144.296875,91.703125,112.78125,99.4375,104.140625,108.0,99.140625,83.75,100.015625,95.96875,87.796875
