File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,112.359375,105.21875,125.8125,122.625,145.578125,123.0,136.78125,107.75,126.65625,111.609375,136.0625,123.546875,124.234375,145.5,129.171875,148.5
0656.png,86.71875,125.453125,97.375,131.9375,123.40625,124.109375,121.453125,119.859375,118.140625,137.78125,132.59375,118.5625,129.875,111.875,122.5,129.953125
0692.png,143.953125,142.703125,123.46875,133.0,143.390625,122.375,128.4375,124.234375,136.8125,109.21875,129.46875,122.390625,131.4375,136.421875,123.953125,132.0625
0211.png,110.734375,147.46875,116.65625,96.0,132.6875,117.078125,126.125,114.984375,118.375,154.703125,138.875,121.9375,136.59375,127.171875,126.078125,112.375
0004.png,124.640625,110.3125,105.3125,111.125,133.75,115.40625,141.921875,129.359375,128.640625,125.109375,111.140625,107.84375,112.859375,140.390625,115.109375,123.375
0609.png,117.65625,116.15625,123.140625,130.671875,122.546875,124.875,111.421875,133.96875,131.421875,114.765625,117.65625,133.90625,133.75,122.9375,122.828125,121.53125
0827.png,131.078125,139.96875,144.90625,118.75,141.75,135.359375,123.9375,141.546875,121.234375,127.234375,123.8125,108.15625,132.21875,106.640625,133.578125,126.328125
0120.png,110.515625,136.25,128.859375,106.84375,125.046875,125.84375,115.625,139.6875,114.03125,113.234375,129.703125,119.9375,133.171875,120.859375,122.046875,131.46875
0848.png,144.578125,103.015625,120.578125,130.1875,128.96875,127.3125,125.71875,126.796875,139.5625,108.5,118.78125,120.640625,129.375,128.515625,125.078125,131.296875
0994.png,126.984375,109.453125,92.984375,133.625,121.3125,130.609375,127.453125,117.546875,120.8125,126.078125,119.171875,122.984375,120.359375,121.375,125.90625,121.875
0261.png,132.265625,101.234375,139.28125,102.5,147.546875,141.453125,106.515625,120.9375,137.203125,119.796875,133.53125,122.828125,124.140625,134.96875,127.6875,111.890625
0154.png,132.78125,114.75,118.546875,138.125,125.140625,136.546875,109.984375,120.484375,114.0,105.234375,134.984375,113.59375,125.28125,120.0,139.28125,136.65625
0838.png,141.171875,134.90625,117.171875,137.390625,127.515625,108.71875,122.78125,123.4375,111.484375,128.515625,136.796875,117.140625,132.578125,116.609375,123.59375,117.09375
0223.png,115.34375,93.828125,115.96875,105.0,118.515625,125.359375,99.984375,125.671875,135.3125,113.171875,128.546875,125.171875,126.0625,123.28125,132.90625,127.171875
0241.png,176.796875,116.359375,111.859375,143.5625,98.765625,123.53125,130.21875,120.453125,132.78125,115.15625,123.0,119.9375,126.78125,115.359375,133.96875,148.5
0512.png,167.984375,118.90625,102.84375,117.046875,101.484375,148.53125,124.390625,133.328125,140.765625,120.28125,116.3125,127.125,124.140625,140.4375,124.421875,123.296875
0778.png,149.859375,111.625,122.078125,132.953125,124.390625,122.046875,117.0,143.3125,133.328125,134.703125,122.78125,135.59375,149.765625,119.4375,136.71875,139.265625
0020.png,154.71875,146.40625,123.71875,116.71875,135.4375,101.21875,142.28125,116.75,134.78125,116.09375,104.203125,125.46875,138.5,133.703125,120.578125,129.578125
0828.png,105.9375,145.5625,123.265625,142.453125,124.78125,124.390625,150.171875,130.296875,128.015625,110.171875,140.640625,129.46875,122.171875,141.40625,127.46875,137.5625
0523.png,127.21875,98.921875,128.796875,116.640625,115.515625,123.421875,125.34375,131.078125,134.859375,117.21875,136.046875,127.828125,104.8125,112.1875,127.4375,138.484375
0445.png,103.203125,145.0625,108.28125,124.4375,143.609375,123.65625,140.078125,119.671875,128.125,135.546875,120.71875,124.15625,127.90625,131.703125,111.921875,142.28125
0415.png,117.0625,108.453125,123.5625,125.640625,119.546875,107.578125,128.46875,121.734375,127.4375,117.953125,119.53125,87.578125,122.359375,119.03125,123.484375,119.578125
0126.png,125.171875,145.1875,115.890625,144.359375,143.484375,106.203125,129.625,132.625,121.875,127.4375,117.5,119.421875,125.390625,124.203125,125.765625,110.625
0608.png,125.578125,149.203125,98.578125,107.140625,125.46875,123.46875,108.328125,119.796875,134.28125,125.75,121.21875,127.75,129.796875,111.765625,129.75,127.0
0056.png,121.953125,121.96875,118.546875,105.0625,129.5625,116.15625,126.765625,129.515625,121.328125,136.171875,116.90625,118.65625,121.984375,120.328125,100.640625,134.3125
0739.png,162.34375,125.859375,114.203125,113.21875,122.046875,108.28125,122.078125,137.59375,141.453125,143.8125,142.109375,139.375,129.875,103.484375,123.453125,127.765625
0484.png,129.703125,120.671875,133.21875,118.796875,145.859375,114.90625,120.6875,134.46875,128.421875,113.515625,124.046875,115.53125,141.34375,118.640625,129.625,134.9375
0796.png,115.5625,112.640625,154.1875,124.1875,122.546875,124.359375,150.578125,113.515625,141.171875,114.34375,136.421875,123.828125,145.046875,113.125,110.359375,125.375
0750.png,121.1875,182.15625,89.109375,134.046875,147.203125,110.25,147.359375,108.46875,129.71875,121.0,122.796875,137.28125,124.3125,109.0,118.78125,119.6875
0399.png,108.8125,134.984375,119.671875,114.34375,126.28125,129.140625,122.484375,135.203125,128.375,118.875,129.640625,137.71875,89.78125,120.875,131.265625,116.40625
0890.png,162.875,96.09375,110.734375,123.1875,126.96875,120.71875,143.0,117.8125,131.671875,112.546875,131.171875,140.515625,136.203125,100.828125,130.828125,136.953125
0400.png,141.09375,113.0,128.875,115.609375,123.46875,109.3125,115.125,119.0625,123.453125,138.796875,112.375,133.28125,115.75,134.28125,102.859375,112.40625
0659.png,150.328125,148.515625,141.828125,122.734375,142.3125,127.6875,121.171875,135.265625,116.90625,142.984375,142.328125,125.734375,126.640625,129.515625,125.3125,123.46875
0113.png,131.375,110.21875,123.65625,163.171875,129.796875,145.28125,117.09375,129.484375,132.703125,113.046875,138.96875,128.8125,102.59375,115.15625,112.359375,130.09375
0776.png,169.1875,111.28125,120.625,122.59375,136.328125,124.109375,136.9375,126.59375,113.359375,116.359375,116.125,115.578125,152.296875,134.65625,120.578125,129.40625
