File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,131.984375,119.234375,127.65625,125.046875,120.796875,114.28125,108.421875,134.890625,128.625,109.984375,124.6875,138.125,131.5,105.453125,114.625,117.3125
0656.png,140.09375,126.640625,123.265625,119.8125,134.28125,130.65625,110.296875,116.46875,128.640625,128.625,99.296875,113.140625,138.03125,110.5625,119.234375,127.859375
0692.png,181.765625,105.234375,98.359375,82.546875,92.046875,98.640625,87.734375,67.25,84.09375,85.5625,103.34375,93.984375,81.890625,89.515625,82.625,92.0625
0211.png,174.015625,130.09375,124.71875,87.75,110.0,107.5,92.359375,96.71875,139.796875,117.15625,121.46875,121.046875,115.5625,92.25,84.671875,102.53125
0004.png,154.875,101.109375,119.765625,124.359375,104.15625,123.734375,121.609375,110.734375,109.15625,137.21875,101.75,125.40625,118.953125,117.0,115.828125,121.75
0609.png,142.15625,112.78125,139.359375,118.1875,127.0,141.09375,148.125,128.078125,128.21875,126.015625,103.453125,129.875,119.9375,112.53125,115.0625,116.875
0827.png,211.734375,74.234375,73.4375,73.765625,56.734375,71.234375,63.09375,69.03125,72.046875,75.84375,90.140625,64.5625,52.09375,71.359375,59.640625,54.34375
0120.png,134.484375,131.515625,114.4375,117.40625,133.0625,128.296875,117.828125,142.75,129.390625,122.8125,142.40625,121.40625,116.015625,112.3125,124.109375,131.015625
0848.png,155.625,76.921875,104.796875,92.671875,82.40625,131.859375,94.734375,110.296875,97.5,115.453125,106.21875,104.75,105.6875,105.03125,97.59375,121.265625
0994.png,143.0625,108.984375,115.03125,125.015625,141.453125,125.453125,116.4375,122.671875,127.734375,125.140625,110.3125,102.390625,128.4375,119.0625,104.421875,114.640625
0261.png,153.9375,103.4375,115.46875,139.953125,106.1875,110.640625,117.875,125.78125,102.28125,134.046875,106.578125,122.46875,101.578125,101.8125,122.40625,105.625
0154.png,173.828125,76.6875,84.09375,85.296875,77.4375,110.515625,99.84375,100.375,86.703125,82.15625,101.359375,95.40625,96.0625,87.734375,101.265625,99.15625
0838.png,122.75,141.84375,130.703125,116.109375,123.015625,110.28125,126.046875,104.421875,134.28125,129.4375,104.828125,129.125,144.0625,117.03125,124.328125,135.34375
0223.png,138.609375,98.734375,100.828125,128.90625,98.59375,126.9375,137.75,132.78125,125.3125,113.234375,112.03125,125.671875,133.546875,106.1875,116.234375,101.078125
0241.png,218.21875,54.21875,48.9375,54.40625,44.5,61.375,49.03125,47.125,36.5625,52.28125,52.875,36.78125,31.59375,49.734375,41.171875,42.171875
0512.png,178.34375,57.296875,70.578125,53.984375,49.640625,56.53125,57.3125,65.46875,57.421875,67.359375,66.859375,63.546875,70.234375,64.578125,49.640625,63.859375
0778.png,136.203125,115.25,123.0625,111.96875,100.84375,111.609375,92.78125,112.921875,117.671875,111.609375,107.375,120.703125,105.90625,110.078125,125.953125,122.15625
0020.png,110.609375,142.65625,126.96875,102.703125,156.765625,111.046875,121.265625,97.625,119.828125,116.3125,120.875,108.890625,126.359375,121.140625,114.078125,114.984375
0828.png,149.140625,136.046875,141.359375,109.859375,116.953125,109.734375,110.890625,97.171875,152.875,104.34375,117.28125,113.921875,89.6875,110.625,106.421875,103.953125
0523.png,166.953125,87.0,113.546875,104.515625,93.953125,111.046875,90.578125,102.609375,110.65625,100.28125,83.09375,104.65625,95.875,103.40625,95.984375,90.484375
0445.png,134.0,139.484375,113.359375,98.546875,128.984375,114.375,123.15625,100.359375,112.0,118.828125,92.640625,131.609375,110.9375,119.828125,123.75,120.25
0415.png,138.765625,116.546875,113.71875,140.3125,121.8125,118.09375,122.703125,119.84375,115.671875,124.015625,104.5,109.953125,128.0,124.0625,99.96875,125.875
0126.png,169.03125,128.21875,98.9375,110.625,128.296875,106.453125,103.140625,119.4375,105.140625,99.515625,128.953125,114.59375,100.265625,123.765625,107.5,123.859375
0608.png,125.859375,123.359375,106.546875,108.578125,117.296875,120.71875,94.53125,129.0,122.40625,128.28125,125.765625,143.90625,125.0,110.09375,121.78125,128.796875
0056.png,116.546875,108.546875,134.453125,107.03125,125.640625,103.953125,113.90625,122.09375,137.34375,124.984375,119.96875,136.78125,137.46875,124.984375,126.375,108.6875
0739.png,182.484375,107.203125,72.609375,81.109375,89.71875,78.03125,67.6875,72.34375,73.34375,78.546875,72.65625,87.796875,71.578125,80.0625,88.375,79.328125
0484.png,121.921875,121.359375,126.09375,131.25,131.984375,116.15625,110.359375,117.390625,125.484375,108.96875,113.8125,114.640625,117.65625,117.75,98.078125,124.0625
0796.png,118.578125,122.09375,144.078125,103.03125,114.265625,99.8125,123.28125,107.59375,157.5625,100.953125,121.0,122.59375,111.09375,127.8125,131.78125,112.609375
0750.png,127.78125,185.1875,102.90625,120.859375,162.96875,86.015625,117.765625,99.25,102.265625,121.890625,113.734375,106.5,121.25,106.21875,93.765625,86.671875
0399.png,168.625,114.453125,130.890625,115.765625,109.953125,127.0625,101.859375,123.34375,110.71875,95.1875,130.34375,102.0,105.734375,110.6875,121.890625,108.9375
0890.png,156.40625,68.0625,94.078125,102.171875,82.59375,97.625,113.1875,86.265625,98.96875,108.90625,92.734375,100.0,97.78125,89.703125,97.75,88.671875
0400.png,128.53125,90.96875,120.984375,119.75,100.1875,119.359375,112.46875,79.53125,103.109375,112.0,97.578125,113.359375,107.5,102.9375,108.875,82.171875
0659.png,121.359375,149.828125,135.5,121.515625,175.3125,133.296875,124.9375,108.59375,127.65625,113.65625,143.984375,125.9375,126.890625,103.421875,116.03125,108.484375
0113.png,135.234375,65.109375,123.15625,130.0,115.53125,131.984375,123.796875,110.953125,122.84375,118.25,139.4375,127.25,131.890625,119.390625,124.234375,110.90625
0776.png,87.703125,83.125,121.59375,111.046875,87.015625,94.453125,96.96875,102.5,110.375,104.484375,86.3125,95.671875,95.109375,87.125,85.078125,89.578125
0443.png,144.78125,179.0625,134.953125,121.953125,151.21875,116.75,109.4375,113.59375,129.296875,97.09375,91.125,94.546875,75.859375,88.015625,95.78125,107.375
0014.png,140.6875,115.9375,127.40625,117.109375,114.3125,118.609375,94.859375,100.25,132.984375,127.65625,109.53125,114.40625,95.25,97.234375,103.703125,125.78125
0231.png,129.421875,101.0,90.5,133.96875,136.8125,129.5,114.296875,137.5625,110.390625,132.9375,103.890625,118.3125,147.734375,120.28125,112.078125,118.109375
0153.png,124.171875,129.4375,125.078125,109.046875,133.5,119.25,123.0625,145.75,121.203125,124.59375,120.171875,134.671875,100.796875,124.703125,115.90625,120.8125
0576.png,142.046875,122.46875,105.703125,127.96875,114.765625,125.0,126.546875,127.40625,124.125,110.3125,121.171875,136.375,102.8125,117.78125,121.875,122.25
