File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,117.328125,115.578125,119.046875,103.859375,109.765625,100.203125,101.953125,79.203125,122.75,107.65625,119.65625,122.921875,89.765625,66.546875,69.671875,62.546875
0656.png,84.59375,127.828125,98.40625,101.15625,150.375,89.640625,86.078125,109.34375,108.15625,111.890625,100.640625,116.296875,99.828125,95.921875,84.375,96.203125
0692.png,137.546875,144.484375,103.5625,126.046875,147.859375,114.515625,119.90625,114.84375,98.46875,122.0625,121.90625,98.234375,115.890625,87.9375,88.09375,83.359375
0211.png,102.40625,132.046875,138.03125,75.84375,120.421875,100.8125,74.0625,110.390625,146.21875,80.234375,100.34375,87.28125,73.71875,86.0625,78.046875,87.859375
0004.png,126.078125,97.578125,121.078125,117.21875,91.5625,136.015625,107.96875,104.578125,98.09375,117.84375,104.46875,133.328125,125.59375,126.0,118.046875,107.640625
0609.png,118.84375,106.390625,115.75,136.984375,119.8125,133.078125,105.640625,110.15625,119.859375,109.875,118.546875,104.953125,95.875,68.328125,71.6875,75.84375
0827.png,139.953125,111.71875,115.78125,74.765625,70.453125,84.5,85.8125,78.21875,99.25,71.734375,90.109375,63.53125,73.859375,61.953125,53.984375,57.4375
0120.png,113.4375,136.65625,127.0625,98.640625,130.953125,121.15625,112.0625,100.03125,124.28125,114.203125,106.359375,125.5,73.71875,78.015625,93.84375,93.625
0848.png,142.1875,90.875,120.484375,112.125,99.171875,117.46875,105.875,98.484375,107.21875,112.15625,125.15625,96.078125,115.765625,84.40625,99.8125,100.203125
0994.png,110.859375,94.25,106.703125,123.953125,108.8125,136.03125,118.109375,130.40625,102.453125,111.90625,109.109375,103.625,99.765625,87.703125,88.078125,100.078125
0261.png,129.109375,75.390625,100.46875,75.40625,54.9375,59.390625,66.03125,53.5625,88.3125,60.1875,66.578125,60.25,39.96875,31.90625,28.109375,39.625
0154.png,140.015625,111.5625,131.671875,111.78125,99.109375,128.796875,102.015625,100.703125,117.078125,113.890625,110.734375,106.328125,87.8125,87.84375,80.28125,77.0
0838.png,148.234375,120.15625,95.46875,115.984375,105.265625,107.640625,110.109375,102.203125,91.328125,102.140625,123.375,109.734375,79.890625,76.21875,71.984375,76.1875
0223.png,115.96875,101.8125,109.296875,97.0625,103.9375,105.765625,94.078125,101.578125,107.921875,95.984375,107.203125,91.875,99.75,83.953125,87.5,80.0625
0241.png,199.28125,126.21875,73.921875,91.828125,81.828125,98.34375,85.90625,53.8125,80.0,80.046875,83.890625,59.953125,69.90625,42.015625,53.78125,58.296875
0512.png,178.140625,93.609375,83.109375,67.296875,97.609375,91.28125,67.171875,84.0625,74.359375,79.65625,76.40625,79.65625,85.484375,82.078125,65.75,66.671875
0778.png,150.53125,70.9375,112.28125,74.078125,74.703125,92.953125,94.140625,74.578125,101.828125,88.140625,101.28125,95.734375,65.859375,61.796875,53.953125,42.15625
0020.png,135.75,132.28125,124.046875,116.171875,152.734375,122.390625,113.953125,101.765625,122.796875,112.046875,112.984375,76.3125,97.796875,77.734375,82.015625,93.265625
0828.png,118.65625,131.09375,143.125,106.453125,111.515625,115.140625,100.25,88.109375,118.953125,90.375,113.140625,98.515625,89.625,73.96875,86.078125,89.421875
0523.png,141.171875,82.6875,123.859375,102.484375,87.609375,120.484375,100.078125,112.0,123.828125,103.984375,107.65625,99.859375,99.984375,91.75,83.875,95.234375
0445.png,107.234375,150.359375,107.484375,87.765625,154.25,100.28125,65.953125,70.0,83.0,73.890625,99.359375,85.453125,77.6875,66.078125,57.84375,66.09375
0415.png,118.140625,107.53125,109.375,129.390625,128.484375,83.859375,91.984375,86.828125,110.71875,109.9375,108.78125,91.09375,73.90625,66.15625,78.0625,63.09375
