File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,113.09375,123.390625,130.65625,118.484375,130.828125,108.625,105.734375,108.8125,129.59375,106.515625,114.125,103.0,102.09375,103.40625,113.265625,117.03125
0656.png,80.984375,114.578125,110.90625,117.78125,124.375,128.359375,105.15625,114.390625,110.40625,122.0625,112.890625,115.046875,117.890625,114.359375,115.375,118.671875
0692.png,154.046875,159.296875,105.03125,95.484375,149.421875,136.203125,106.015625,101.40625,100.625,93.234375,113.4375,118.359375,95.875,99.15625,108.34375,101.65625
0211.png,105.703125,139.203125,134.265625,98.65625,125.453125,95.78125,96.375,104.484375,143.984375,107.0,125.546875,117.359375,107.984375,92.890625,88.6875,104.078125
0004.png,127.453125,85.46875,96.234375,112.265625,86.65625,128.46875,111.765625,101.046875,84.796875,107.453125,111.84375,117.40625,115.65625,120.109375,100.0,121.1875
0609.png,116.84375,122.609375,128.78125,116.65625,117.375,122.671875,109.734375,113.703125,116.6875,96.21875,109.640625,117.4375,105.859375,110.484375,109.125,107.9375
0827.png,137.15625,120.8125,135.125,55.953125,78.78125,89.40625,77.359375,79.15625,113.1875,77.671875,80.84375,74.34375,61.921875,65.484375,53.8125,60.546875
0120.png,115.453125,141.078125,98.828125,118.46875,121.171875,113.828125,101.671875,130.734375,111.953125,118.28125,104.734375,121.15625,99.90625,107.796875,108.125,134.6875
0848.png,158.765625,89.6875,120.203125,108.609375,100.046875,143.578125,114.671875,125.984375,105.6875,103.625,119.484375,120.640625,119.921875,98.484375,135.5625,112.203125
0994.png,124.59375,88.640625,95.59375,110.734375,113.28125,128.703125,124.328125,126.515625,127.765625,124.421875,120.09375,106.234375,123.6875,123.03125,124.640625,109.78125
0261.png,127.15625,80.96875,113.75,69.28125,68.109375,76.484375,52.15625,47.859375,98.234375,82.0625,71.625,70.609375,51.875,43.578125,39.953125,43.046875
0154.png,129.59375,108.8125,112.03125,110.078125,105.265625,110.25,116.75,100.609375,116.484375,106.71875,114.625,110.625,97.59375,97.140625,107.171875,116.59375
0838.png,140.4375,107.609375,116.40625,98.703125,106.90625,87.015625,108.203125,88.09375,118.53125,98.375,112.234375,104.765625,91.828125,92.578125,99.90625,80.21875
0223.png,135.390625,89.078125,119.03125,113.5625,95.09375,124.890625,99.0625,108.71875,123.296875,123.515625,121.046875,115.6875,117.53125,98.3125,112.265625,93.6875
0241.png,214.09375,85.40625,64.140625,62.625,97.078125,106.609375,61.90625,63.296875,78.4375,66.375,66.515625,47.9375,57.9375,58.125,53.40625,46.078125
0512.png,182.515625,58.25,66.3125,56.78125,66.046875,82.171875,77.171875,77.40625,59.3125,68.34375,58.859375,71.90625,69.65625,77.1875,78.015625,71.390625
0778.png,147.703125,101.203125,99.03125,87.328125,110.4375,119.859375,90.203125,82.28125,119.15625,88.15625,95.6875,94.71875,81.9375,70.265625,73.828125,70.78125
0020.png,151.28125,143.578125,105.515625,121.421875,156.6875,102.71875,88.25,89.359375,123.109375,84.515625,121.828125,84.734375,111.78125,95.09375,83.875,101.890625
0828.png,117.578125,159.671875,121.4375,109.71875,110.875,105.375,108.1875,98.625,147.0625,104.171875,103.21875,111.53125,83.625,104.234375,84.234375,98.96875
0523.png,130.140625,88.953125,142.953125,103.25,101.921875,137.28125,104.40625,103.28125,138.96875,85.796875,106.890625,96.6875,99.9375,91.65625,83.578125,101.625
0445.png,92.90625,152.640625,87.140625,82.5625,151.125,127.5625,88.078125,78.40625,92.21875,91.65625,72.609375,87.46875,79.765625,67.71875,75.8125,86.609375
0415.png,120.09375,105.234375,93.71875,103.875,124.203125,96.1875,124.125,101.84375,105.625,102.578125,86.4375,99.796875,87.90625,87.875,80.046875,88.953125
0126.png,116.390625,150.21875,111.421875,111.859375,118.5,108.5625,96.96875,108.578125,107.125,106.1875,136.96875,128.671875,99.65625,100.234375,95.8125,103.75
0608.png,122.75,133.703125,98.796875,100.984375,119.609375,134.71875,102.828125,103.09375,134.046875,88.578125,111.3125,124.015625,97.875,81.921875,105.671875,109.875
0056.png,114.671875,120.203125,110.796875,110.625,117.578125,111.484375,106.171875,114.453125,137.421875,102.65625,110.921875,124.84375,129.9375,105.28125,102.3125,99.0625
0739.png,166.734375,176.546875,115.265625,92.40625,156.828125,103.109375,79.90625,80.859375,126.453125,56.28125,79.40625,73.59375,75.546875,68.03125,80.171875,78.71875
0484.png,120.171875,113.421875,109.796875,108.0625,129.4375,120.125,100.125,111.296875,127.25,111.15625,120.671875,112.96875,109.9375,113.828125,106.0,116.140625
0796.png,129.984375,113.8125,164.625,128.0,118.234375,104.0,99.1875,103.953125,157.796875,93.765625,125.578125,110.671875,107.25,115.65625,107.765625,94.75
0750.png,122.078125,210.3125,52.453125,74.921875,210.90625,57.265625,62.421875,79.328125,49.53125,67.71875,81.421875,80.8125,67.875,48.21875,52.078125,51.90625
0399.png,124.6875,112.796875,131.984375,87.109375,108.046875,123.15625,100.375,117.71875,138.296875,108.015625,141.8125,101.390625,119.484375,108.625,123.875,120.796875
0890.png,163.328125,84.578125,77.65625,106.171875,108.3125,125.90625,85.65625,74.390625,79.703125,94.234375,95.359375,87.796875,105.703125,82.0,81.859375,85.1875
0400.png,141.0625,80.234375,106.921875,95.609375,84.21875,102.8125,104.0,91.921875,98.609375,109.859375,110.75,105.8125,87.546875,83.109375,88.8125,77.546875
0659.png,134.4375,171.015625,129.640625,111.5625,191.140625,128.046875,94.140625,92.28125,104.453125,93.328125,94.546875,93.734375,79.8125,91.75,99.859375,99.671875
0113.png,121.671875,79.609375,119.734375,124.71875,101.4375,134.484375,110.0625,124.921875,119.203125,111.234375,128.828125,126.9375,133.8125,125.34375,118.203125,112.28125
0776.png,174.171875,61.75,108.25,86.171875,67.046875,74.078125,96.828125,90.53125,94.90625,88.25,71.328125,60.21875,85.453125,72.890625,55.3125,65.6875
0443.png,108.984375,204.25,148.125,79.859375,149.6875,115.546875,71.5625,82.890625,103.171875,83.984375,94.90625,81.171875,49.9375,58.25,57.90625,65.03125
0014.png,106.59375,103.953125,115.25,120.3125,122.53125,113.546875,107.859375,111.875,126.640625,104.890625,119.421875,96.140625,119.265625,105.28125,116.03125,125.15625
